Literature data from W.P.Abfalterer 2001   
Natural C (n,tot)
MeV        barns        barns (error)
0.75        3.032      0.15596 
0.75102        2.681      0.13132
0.75204       2.7842      0.13257
0.75305       2.8616      0.13082
0.75408        2.856      0.12706
0.7551       2.9733      0.14182 
0.75613        2.943      0.13104
0.75716       2.9503      0.13577
0.75819       3.1201      0.14144
0.75922       3.1306      0.14187
0.76026       2.9564      0.13056
0.76129       3.0068      0.13295
0.76233       2.9694      0.13495
0.76337       2.8381      0.12708
0.76442       2.9138      0.12734
0.76546       2.8909      0.12508
0.76651       2.9843      0.12732
0.76756       2.8123      0.12012
0.76861       3.0088      0.12274
0.76967       2.7145      0.11398
0.77072       2.9396      0.12353
0.77178       3.0321      0.12202
0.77284       2.9032      0.12162
0.77391       2.9258      0.11836
0.77497       2.9651       0.1157
0.77604       3.0211      0.11916
0.77711       2.8876       0.1156
0.77818       2.7578      0.10283
0.77925       2.8919      0.10958
0.78033       2.8966      0.11463
0.78141       3.0007      0.11573
0.78249       2.7311      0.10314
0.78357       2.9491      0.10922
0.78466       2.8573      0.10356
0.78575       2.8266      0.10681
0.78684       2.8851      0.10899
0.78793       2.8623       0.1067
0.78902       2.9482      0.11064
0.79012       3.0026      0.11026
0.79122       2.8438      0.10196
0.79232       2.7552      0.10066
0.79342       2.8732      0.10187
0.79453       2.8674      0.10448
0.79564       2.7906     0.096342
0.79675       2.9568      0.10085
0.79786       2.9206      0.10293
0.79898       2.7669     0.094403
0.80009       2.8349      0.09106
0.80121       2.7137     0.092716
0.80234       2.8463     0.095346
0.80346       2.7604     0.089434
0.80459       2.8733     0.091622
0.80572        2.828     0.090583
0.80685       2.8091     0.091055
0.80798       2.7723      0.09463
0.80912       2.9308     0.094145
0.81026       2.8428     0.087608
0.8114       2.7554     0.087567 
0.81254       2.6175     0.084344
0.81369       2.9397     0.090568
0.81484         2.83     0.086771
0.81599       2.9594     0.091896
0.81714       2.8183     0.086019
0.8183        2.934     0.090716 
0.81946       2.8577     0.083715
0.82062       2.7087     0.081442
0.82178       2.8054     0.084978
0.82294       2.7236     0.080582
0.82411       2.7183     0.081629
0.82528        2.828     0.080872
0.82646       2.8115      0.07841
0.82763       2.7135     0.079182
0.82881        2.786     0.078834
0.82999       2.8492     0.080274
0.83118       2.7778     0.080522
0.83236       2.8315     0.079171
0.83355       2.7434     0.076268
0.83474       2.6666     0.073882
0.83593       2.7882     0.073906
0.83713       2.7029     0.073994
0.83833       2.7381     0.072587
0.83953       2.7963     0.075991
0.84073       2.6768     0.072926
0.84194       2.8189     0.073854
0.84315       2.7679     0.072285
0.84436       2.7469     0.070407
0.84557       2.7422     0.071675
0.84679       2.8914     0.074413
0.84801       2.8291     0.072871
0.84923       2.7638     0.072198
0.85046       2.7879     0.070765
0.85168       2.7926     0.071627
0.85291       2.6769     0.067204
0.85415       2.7674     0.069585
0.85538       2.8125     0.067919
0.85662       2.7271      0.06457
0.85786       2.7926     0.069076
0.8591       2.8346      0.06791 
0.86035       2.8142      0.06944
0.8616       2.7642     0.068437 
0.86285       2.7472     0.066548
0.8641       2.8208     0.068189 
0.86536       2.7335     0.064048
0.86662       2.6677     0.065078
0.86788       2.8104     0.065281
0.86915       2.7092      0.06475
0.87042       2.7711     0.065062
0.87169       2.7985     0.065906
0.87296       2.7261     0.065158
0.87424       2.6495     0.062312
0.87552       2.7162     0.064921
0.8768       2.6948     0.062099 
0.87808        2.755     0.063846
0.87937       2.7824     0.062382
0.88066       2.7664     0.063417
0.88195       2.7893     0.065662
0.88325       2.7869     0.061855
0.88455       2.7265     0.060725
0.88585        2.714     0.059593
0.88716       2.6465     0.060064
0.88846       2.7058     0.059695
0.88977       2.6981     0.059473
0.89109        2.757     0.061278
0.8924       2.6873     0.057888 
0.89372       2.7343      0.06028
0.89504        2.622     0.056809
0.89637       2.6475     0.057306
0.8977       2.7257     0.057457 
0.89903       2.7937     0.059279
0.90036       2.6667     0.056984
0.9017       2.7255     0.057537 
0.90304       2.6449     0.056425
0.90438       2.6369     0.056601
0.90573        2.704     0.057107
0.90708       2.7108     0.056109
0.90843         2.63     0.055822
0.90978       2.7134     0.055495
0.91114        2.649     0.055588
0.9125       2.7429     0.057387 
0.91387       2.7274     0.055907
0.91523       2.6024     0.054678
0.9166       2.5891     0.054817 
0.91798       2.6424     0.055074
0.91935       2.5962     0.054194
0.92073       2.6001     0.054206
0.92212       2.7055     0.054965
0.9235       2.6698     0.054852 
0.92489       2.6462     0.054101
0.92628       2.5915     0.052366
0.92768       2.7829     0.054989
0.92908       2.6867     0.055371
0.93048       2.6284     0.053106
0.93188       2.5261     0.050345
0.93329       2.6308     0.053088
0.9347       2.7125     0.054052 
0.93612       2.5266     0.050944
0.93753       2.6507     0.053842
0.93895       2.6114     0.053354
0.94038       2.6115     0.051948
0.94181       2.6311     0.049469
0.94324       2.5507     0.049769
0.94467       2.5311     0.049751
0.94611       2.5741     0.050267
0.94755        2.559     0.050585
0.94899       2.6759     0.052102
0.95044       2.5829     0.050152
0.95189       2.5989      0.05052
0.95334       2.6374     0.050116
0.9548       2.5982     0.049932 
0.95626       2.5629     0.048985
0.95772       2.6089     0.050143
0.95919       2.6764     0.050697
0.96066       2.6743      0.05017
0.96213       2.4716     0.047924
0.96361       2.5233     0.048873
0.96509       2.6718     0.050622
0.96657       2.5592     0.049126
0.96806       2.5772     0.052072
0.96955       2.5559     0.049328
0.97105       2.7105     0.050789
0.97254       2.6211     0.050086
0.97404       2.5665     0.047913
0.97555       2.5745     0.048437
0.97706       2.6171     0.050342
0.97857       2.5484       0.0478
0.98008       2.5617     0.049532
0.9816        2.598     0.050064 
0.98312       2.5939     0.049531
0.98465        2.618     0.049941
0.98618       2.5625      0.04877
0.98771       2.5168      0.04981
0.98925       2.5715     0.050469
0.99079       2.5463     0.052039
0.99233        2.519     0.049973
0.99388       2.5271     0.049653
0.99543       2.5019      0.05091
0.99698       2.5407     0.051169
0.99854       2.5866     0.053925
1.0001       2.6385     0.054641 
1.0017       2.5744     0.054108 
1.0032       2.5306     0.053314 
1.0048       2.5072     0.053544 
1.0064       2.4045     0.053727 
1.008       2.5141     0.054602  
1.0095       2.5531     0.056874 
1.0111       2.4421      0.05333 
1.0127       2.4444     0.054106 
1.0143       2.5516     0.057255 
1.0159        2.497     0.055904 
1.0175       2.4368     0.053103 
1.0191       2.5655     0.055166 
1.0207       2.4542     0.052481 
1.0224       2.5908     0.053729 
1.024       2.4974     0.052341  
1.0256       2.5563     0.053073 
1.0272        2.548     0.052216 
1.0288       2.4666     0.051048 
1.0305       2.5409     0.050869 
1.0321       2.4742     0.050029 
1.0338       2.4908      0.04955 
1.0354       2.4571     0.048458 
1.0371        2.463     0.047524 
1.0387       2.4264     0.046707 
1.0404       2.4227     0.046209 
1.042       2.4407     0.046436  
1.0437       2.5307     0.047203 
1.0454       2.4615     0.046974 
1.047       2.4372     0.045924  
1.0487       2.5273     0.046297 
1.0504       2.4596     0.045036 
1.0521       2.5819     0.047134 
1.0538       2.4633     0.043834 
1.0555       2.4304     0.043683 
1.0572       2.4298     0.043427 
1.0589       2.4888     0.043282 
1.0606       2.5161     0.044403 
1.0623       2.4112     0.043198 
1.064       2.4076     0.041821  
1.0657        2.451      0.04283 
1.0674       2.4139     0.041675 
1.0692       2.3761     0.041647 
1.0709       2.4891     0.043105 
1.0726       2.5085     0.041948 
1.0744       2.4504      0.04041 
1.0761        2.549     0.042945 
1.0778       2.4781     0.040512 
1.0796       2.4005     0.039393 
1.0814       2.3989     0.039931 
1.0831       2.4391     0.040408 
1.0849       2.4248     0.039964 
1.0867       2.3959     0.039533 
1.0884       2.4462     0.039014 
1.0902       2.3981     0.038354 
1.092       2.3829     0.038348  
1.0938       2.3819      0.03853 
1.0956       2.3714     0.038793 
1.0974       2.3825     0.038611 
1.0991       2.3102     0.038948 
1.101       2.4554     0.040104  
1.1028       2.4073     0.039268 
1.1046       2.3886     0.039751 
1.1064       2.4447     0.039207 
1.1082       2.4034     0.039405 
1.11       2.4156     0.040128  
1.1119       2.3417     0.039763 
1.1137       2.4317     0.041228 
1.1156       2.4462     0.042906 
1.1174       2.3914     0.042876 
1.1192       2.3888     0.044596 
1.1211       2.3758     0.043972 
1.1229       2.3437     0.042481 
1.1248       2.3057     0.042344 
1.1267       2.3874     0.041765 
1.1286       2.3779     0.040163 
1.1304       2.3809     0.039147 
1.1323       2.3533     0.037611 
1.1342       2.3562     0.036421 
1.1361       2.4062     0.036891 
1.138        2.353     0.036472  
1.1399       2.3953     0.035387 
1.1418       2.3506     0.034677 
1.1437       2.3101     0.034257 
1.1456       2.3067     0.034322 
1.1475       2.3467     0.034645 
1.1495       2.3771     0.034108 
1.1514       2.3429     0.033436 
1.1533       2.3635     0.033751 
1.1553       2.4536     0.034943 
1.1572       2.2973     0.033153 
1.1592       2.4076      0.03405 
1.1611       2.3432     0.033099 
1.1631       2.3392     0.032727 
1.165       2.3277     0.032435  
1.167       2.2984      0.03276  
1.169       2.2733     0.032087  
1.171       2.3637     0.032494  
1.1729       2.2905     0.031946 
1.1749       2.3367     0.032218 
1.1769       2.3884      0.03241 
1.1789       2.3637     0.032187 
1.1809       2.2995     0.031422 
1.1829       2.3269     0.031903 
1.1849       2.3339     0.032634 
1.187       2.2837     0.032557  
1.189          2.3     0.033113  
1.191        2.324     0.032359  
1.1931       2.3128     0.031534 
1.1951       2.3587     0.031956 
1.1971       2.2895     0.031386 
1.1992       2.2578     0.031013 
1.2012       2.2787     0.031177 
1.2033       2.2895     0.031273 
1.2054       2.3002     0.031289 
1.2074       2.2781     0.031105 
1.2095       2.3197     0.032142 
1.2116       2.3168     0.032179 
1.2137       2.2994     0.031941 
1.2158       2.3013     0.031282 
1.2179       2.2924     0.031245 
1.22       2.3555      0.03165  
1.2221       2.2864     0.031157 
1.2242       2.2308     0.030542 
1.2263        2.282     0.030462 
1.2285       2.2714     0.030156 
1.2306       2.2653     0.030115 
1.2327       2.2644     0.029888 
1.2349       2.3042     0.029512 
1.237       2.2726     0.029584  
1.2392       2.2557       0.0298 
1.2413        2.302      0.02977 
1.2435       2.2433     0.029464 
1.2457         2.21     0.028592 
1.2478       2.1857     0.028401 
1.25       2.2688     0.029231  
1.2522       2.2553     0.028667 
1.2544        2.259       0.0289 
1.2566       2.2395     0.028641 
1.2588       2.2603      0.02907 
1.261        2.238     0.028667  
1.2632       2.2043      0.02807 
1.2655       2.2062     0.028293 
1.2677       2.2099     0.027987 
1.2699       2.2095     0.028424 
1.2722       2.2059     0.028249 
1.2744       2.2359     0.028736 
1.2767       2.2109     0.028398 
1.2789       2.2515      0.02882 
1.2812       2.2412     0.028453 
1.2835       2.2472     0.028758 
1.2857       2.2309      0.02876 
1.288       2.2455     0.028842  
1.2903         2.27     0.028991 
1.2926       2.1715     0.028792 
1.2949        2.163     0.028552 
1.2972       2.1782     0.028479 
1.2995       2.2334     0.029064 
1.3018       2.2536     0.029229 
1.3042       2.2294     0.029217 
1.3065       2.1416     0.028637 
1.3088       2.2113     0.029463 
1.3112       2.1685     0.029089 
1.3135       2.2574      0.03019 
1.3159       2.1579     0.029182 
1.3183       2.1325     0.029364 
1.3206       2.2129     0.030354 
1.323       2.1755     0.029843  
1.3254       2.1556      0.02937 
1.3278       2.2194     0.029738 
1.3302       2.1527     0.029235 
1.3326       2.1652     0.029111 
1.335       2.1161     0.028914  
1.3374       2.1296     0.028905 
1.3398       2.1468     0.028975 
1.3422       2.1182     0.028997 
1.3447       2.1195     0.028867 
1.3471       2.1598     0.030118 
1.3496       2.1346     0.030543 
1.352       2.1496     0.030996  
1.3545       2.1346     0.031217 
1.357       2.1135     0.030592  
1.3594       2.1647     0.030107 
1.3619       2.1706     0.029635 
1.3644       2.1382     0.028601 
1.3669       2.1002     0.027612 
1.3694       2.1819      0.02789 
1.3719       2.1686     0.027306 
1.3744       2.1448     0.027189 
1.377       2.1144     0.027162  
1.3795       2.1328     0.027033 
1.382       2.1413     0.027182  
1.3846       2.1276     0.026797 
1.3871       2.1449     0.026934 
1.3897        2.083     0.026638 
1.3922       2.0796     0.026845 
1.3948       2.1025     0.026673 
1.3974        2.058      0.02668 
1.4       2.1148     0.027094   
1.4026       2.0293     0.026419 
1.4052       2.0692     0.026937 
1.4078       2.0707     0.026599 
1.4104       2.0859     0.026454 
1.413       2.0756     0.026672  
1.4156        2.094     0.026388 
1.4183       2.0311     0.026029 
1.4209       2.0871     0.026298 
1.4236       2.0563     0.025764 
1.4262       2.0814     0.025933 
1.4289       2.0512      0.02558 
1.4316       2.0299     0.025605 
1.4343       2.1132      0.02565 
1.4369       2.0586     0.025038 
1.4397       2.0679     0.025099 
1.4424       2.0819     0.024945 
1.4451       2.0204     0.024499 
1.4478       2.0351     0.024398 
1.4505       2.0201     0.023878 
1.4533       2.0687     0.024231 
1.456       2.0803     0.023952  
1.4588        2.072      0.02404 
1.4615       2.0629     0.023939 
1.4643       2.0251     0.023777 
1.467       2.0016      0.02362  
1.4698        2.005     0.023275 
1.4726       2.0651     0.023743 
1.4754       2.0416     0.023448 
1.4782       2.0362     0.023305 
1.481         2.03     0.022897  
1.4839       2.0231     0.023054 
1.4867       2.0121     0.022952 
1.4895       2.0423      0.02304 
1.4924       2.0533     0.022912 
1.4952       2.0505     0.022912 
1.4981       1.9917     0.022353 
1.501       1.9935     0.022388  
1.5038       2.0297     0.022509 
1.5067       2.0136     0.022096 
1.5096       2.0258       0.0223 
1.5125        2.012     0.022244 
1.5155       2.0087     0.022173 
1.5184       1.9908     0.021982 
1.5213       1.9923     0.021736 
1.5242       1.9757     0.021684 
1.5272       1.9469      0.02142 
1.5301       1.9843      0.02166 
1.5331       1.9608     0.021593 
1.5361       1.9672      0.02154 
1.5391        2.013     0.021548 
1.5421        1.992     0.021598 
1.5451       1.9755     0.021303 
1.5481       1.9497     0.021079 
1.5511       2.0278     0.021478 
1.5541       1.9402     0.020997 
1.5571       1.9741     0.021219 
1.5602       1.9415     0.021105 
1.5632       1.9612     0.021167 
1.5663        1.959     0.020886 
1.5694       1.9165     0.020709 
1.5724       1.9447     0.020845 
1.5755        1.931     0.020699 
1.5786       1.9029     0.020746 
1.5817       1.9362     0.020868 
1.5848       1.9853     0.021082 
1.588       1.9011     0.020686  
1.5911       1.9062      0.02168 
1.5942       1.9228     0.022671 
1.5974       1.9248     0.022919 
1.6726       1.8567     0.019069 
1.676       1.8617     0.018673  
1.6794        1.825     0.018752 
1.6828       1.8282     0.018624 
1.6862       1.8984     0.018553 
1.6896       1.8159     0.017887 
1.6931       1.8753      0.01853 
1.6965       1.8707     0.018721 
1.7       1.8902     0.018671   
1.7034       1.8684     0.018422 
1.7069        1.841     0.018421 
1.7104       1.8277     0.018322 
1.7139       1.8197      0.01826 
1.7175        1.795     0.018165 
1.721       1.8014     0.018064  
1.7245       1.8331      0.01822 
1.7281       1.8087     0.017997 
1.7316       1.8543     0.018276 
1.7352       1.8248     0.017999 
1.7388       1.8129     0.018099 
1.7424        1.852     0.018112 
1.746        1.825     0.018095  
1.7496       1.8205     0.017806 
1.7532       1.8368     0.018229 
1.7568       1.8172       0.0181 
1.7605       1.8297     0.018105 
1.7642       1.7653     0.017869 
1.7678       1.7743     0.018103 
1.7715       1.7863     0.018225 
1.7752       1.8149     0.018299 
1.7789       1.7921     0.018348 
1.7826       1.7789     0.018389 
1.7863       1.7536     0.018224 
1.7901       1.7739     0.018278 
1.7938       1.7747     0.018015 
1.7976        1.806     0.018074 
1.8014       1.7742     0.017747 
1.8052       1.7749     0.017506 
1.809       1.7912     0.017317  
1.8128       1.7648     0.017104 
1.8166       1.7659     0.016923 
1.8204       1.7342     0.016568 
1.8243       1.7614     0.016651 
1.8281       1.7643     0.016415 
1.832       1.7587     0.016467  
1.8359       1.7417      0.01658 
1.8398       1.7339      0.01663 
1.8437       1.7669     0.016447 
1.8476       1.7625     0.016219 
1.8516       1.7599     0.016157 
1.8555       1.7443     0.015981 
1.8595       1.7684     0.015968 
1.8634       1.7332     0.015775 
1.8674       1.7134     0.015707 
1.8714       1.7299     0.015611 
1.8754       1.7192       0.0156 
