Literature data from J.A. Harvey et al (1991) (to 5.29 MeV); R.W. Finlay et al (1993) (>5.29 MeV)
NatN(n,tot)
MeV        Barns       Error (Barns)
1.0009     2.422       0.01118  
1.0023     2.5277      0.011175 
1.0037     2.617       0.011184 
1.005      2.6661      0.011354 
1.0064     2.7331      0.011138 
1.0078     2.7862      0.010995 
1.0092     2.7992      0.011283 
1.0106     2.8314      0.011302 
1.012      2.8181      0.011359 
1.0134     2.8384      0.011019 
1.0148     2.8         0.010965 
1.0162     2.7905      0.010937 
1.0176     2.771       0.010727 
1.019      2.7267      0.010712 
1.0204     2.6753      0.010675 
1.0219     2.6583      0.010488 
1.0233     2.603       0.010322 
1.0247     2.5901      0.010577 
1.0261     2.5481      0.010591 
1.0276     2.5305      0.010393 
1.029      2.4972      0.010353 
1.0304     2.4581      0.010479 
1.0319     2.4124      0.010478 
1.0333     2.3674      0.010373 
1.0347     2.3386      0.010666 
1.0362     2.3373      0.010435 
1.0376     2.2867      0.010477 
1.0391     2.2573      0.010503 
1.0405     2.2298      0.01037  
1.042      2.2166      0.010525 
1.0435     2.1881      0.010426 
1.0449     2.1689      0.010551 
1.0464     2.1391      0.010639 
1.0479     2.1262      0.010268 
1.0494     2.0956      0.010345 
1.0508     2.074       0.0104   
1.0523     2.0353      0.010323 
1.0538     2.0194      0.010329 
1.0553     2.0167      0.010301 
1.0568     1.9826      0.010404 
1.0583     1.9667      0.010064 
1.0598     1.9629      0.010076 
1.0613     1.9362      0.010155 
1.0628     1.9388      0.010231 
1.0643     1.9         0.010226 
1.0658     1.897       0.010368 
1.0673     1.8976      0.01035  
1.0688     1.8958      0.010186 
1.0703     1.8736      0.0098092
1.0719     1.8594      0.0095865
1.0734     1.8474      0.009722 
1.0749     1.8507      0.0098428
1.0764     1.8512      0.0098486
1.078      1.8386      0.010128 
1.0795     1.83        0.010002 
1.0811     1.8232      0.0097586
1.0826     1.8181      0.0097581
1.0842     1.8144      0.0099785
1.0857     1.8252      0.0097136
1.0873     1.8438      0.009681 
1.0886     1.8452      0.011506 
1.0897     1.8533      0.011503 
1.0908     1.8705      0.011714 
1.0919     1.8647      0.012117 
1.093      1.8767      0.011921 
1.0941     1.9171      0.011718 
1.0952     1.9287      0.011852 
1.0963     1.9432      0.012129 
1.0974     1.9797      0.011948 
1.0985     2.0322      0.011934 
1.0996     2.0602      0.011925 
1.1007     2.0865      0.011811 
1.1018     2.1589      0.011715 
1.1029     2.234       0.012015 
1.104      2.319       0.012194 
1.1052     2.3933      0.012307 
1.1063     2.5104      0.012508 
1.1074     2.647       0.012663 
1.1085     2.7774      0.01255  
1.1096     2.9512      0.012792 
1.1108     3.1212      0.013346 
1.1119     3.3427      0.013596 
1.113      3.5713      0.013779 
1.1141     3.793       0.01436  
1.1153     3.9627      0.015577 
1.1164     4.0736      0.015671 
1.1175     4.1079      0.015153 
1.1187     4.0563      0.01504  
1.1198     3.8981      0.01466  
1.121      3.6941      0.015066 
1.1221     3.4444      0.014767 
1.1232     3.2065      0.014374 
1.1244     3.0207      0.013827 
1.1255     2.815       0.013491 
1.1267     2.6451      0.01294  
1.1278     2.468       0.012369 
1.129      2.337       0.01216  
1.1301     2.2308      0.01217  
1.1313     2.1053      0.011723 
1.1325     2.0473      0.011619 
1.1336     1.9604      0.01162  
1.135      1.8981      0.0097136
1.1367     1.8059      0.0097748
1.1384     1.7633      0.0099886
1.14       1.7106      0.0095718
1.1417     1.6672      0.0096207
1.1434     1.6214      0.0093778
1.1451     1.6031      0.0095958
1.1467     1.5479      0.0097906
1.1484     1.5344      0.0093707
1.1501     1.5147      0.0095417
1.1518     1.4932      0.0096714
1.1535     1.4719      0.0096214
1.1552     1.4392      0.0093932
1.1569     1.4564      0.009361 
1.1586     1.4487      0.0094329
1.1604     1.4162      0.0093834
1.1621     1.4152      0.009261 
1.1638     1.4175      0.0092895
1.1655     1.4012      0.0093456
1.1673     1.3886      0.0092914
1.169      1.3648      0.0091933
1.1707     1.3584      0.0094646
1.1725     1.377       0.0094369
1.1742     1.3555      0.0093147
1.176      1.3604      0.009154 
1.1777     1.3586      0.0090482
1.1795     1.3789      0.0094157
1.1805     1.4088      0.030217 
1.1806     1.3628      0.03041  
1.1808     1.421       0.030928 
1.181      1.4004      0.030878 
1.1812     1.3942      0.030995 
1.1813     1.4531      0.030781 
1.1815     1.4814      0.030613 
1.1817     1.507       0.030322 
1.1819     1.4393      0.030212 
1.182      1.4928      0.029948 
1.1822     1.5171      0.029957 
1.1824     1.5569      0.030085 
1.1826     1.6147      0.030178 
1.1827     1.5813      0.030172 
1.1829     1.7117      0.030429 
1.1831     1.7729      0.0307   
1.1833     1.8591      0.031147 
1.1835     2.0799      0.031818 
1.1836     2.2149      0.032615 
1.1838     2.4417      0.033599 
1.184      2.7819      0.034945 
1.1842     3.111       0.036569 
1.1843     3.4551      0.037772 
1.1845     3.77        0.038767 
1.1847     3.8158      0.039121 
1.1849     3.5959      0.03818  
1.185      3.3544      0.03638  
1.1852     3.0645      0.035301 
1.1854     2.6997      0.033758 
1.1856     2.4628      0.032668 
1.1858     2.1966      0.032028 
1.1859     2.0447      0.031503 
1.1861     1.9678      0.030979 
1.1863     1.8285      0.030706 
1.1865     1.7389      0.030577 
1.1866     1.7072      0.030488 
1.1868     1.669       0.030578 
1.187      1.5554      0.030216 
1.1872     1.6272      0.030268 
1.1874     1.5651      0.030208 
1.1875     1.4634      0.029874 
1.1877     1.511       0.029974 
1.1879     1.4734      0.029811 
1.1881     1.4904      0.029707 
1.1882     1.4429      0.029597 
1.1884     1.4959      0.02969  
1.1886     1.4549      0.029918 
1.1888     1.4426      0.029864 
1.189      1.4372      0.029926 
1.1891     1.483       0.029881 
1.1893     1.4042      0.029969 
1.1895     1.4253      0.030195 
1.1897     1.3985      0.030326 
1.1898     1.4665      0.030444 
1.19       1.4281      0.030388 
1.1907     1.4133      0.012238 
1.1917     1.4116      0.01181  
1.1928     1.4159      0.011697 
1.1939     1.4216      0.011618 
1.1949     1.4168      0.01168  
1.196      1.44        0.011605 
1.1971     1.4482      0.011638 
1.1982     1.4626      0.011736 
1.1993     1.4924      0.012256 
1.2003     1.5226      0.012239 
1.2014     1.563       0.011954 
1.2025     1.625       0.012098 
1.2036     1.6921      0.012168 
1.2047     1.7724      0.012201 
1.2058     1.8564      0.012623 
1.2069     1.9523      0.013402 
1.208      2.0476      0.012969 
1.2091     2.0878      0.012901 
1.2102     2.1079      0.013331 
1.2113     2.0608      0.013236 
1.2124     2.0005      0.012719 
1.2135     1.9551      0.012724 
1.2146     1.8664      0.012763 
1.2157     1.8006      0.012308 
1.2168     1.7295      0.012376 
1.2179     1.6879      0.012284 
1.219      1.6169      0.012208 
1.2201     1.5908      0.012087 
1.2212     1.5509      0.012003 
1.2219     1.5731      0.029385 
1.222      1.557       0.029379 
1.2222     1.5491      0.029589 
1.2224     1.5605      0.02967  
1.2226     1.5269      0.029974 
1.2228     1.5566      0.030085 
1.223      1.5534      0.030725 
1.2232     1.4544      0.030895 
1.2233     1.5383      0.030889 
1.2235     1.4196      0.030913 
1.2237     1.5429      0.030765 
1.2239     1.4867      0.030608 
1.2241     1.5796      0.030631 
1.2243     1.598       0.030975 
1.2245     1.6754      0.031042 
1.2246     1.5874      0.031198 
1.2248     1.6335      0.03115  
1.225      1.6069      0.031098 
1.2252     1.5171      0.030832 
1.2254     1.5008      0.030706 
1.2256     1.4862      0.030755 
1.2258     1.4764      0.030705 
1.226      1.4855      0.030819 
1.2261     1.5057      0.030691 
1.2263     1.5009      0.031011 
1.2265     1.4238      0.030915 
1.2267     1.4816      0.030928 
1.2269     1.5092      0.031157 
1.2271     1.4746      0.031482 
1.2273     1.4829      0.032048 
1.2274     1.4071      0.032427 
1.2276     1.4648      0.032935 
1.2278     1.443       0.033345 
1.228      1.4036      0.033536 
1.2282     1.4302      0.033451 
1.2284     1.4547      0.03339  
1.2286     1.5201      0.032667 
1.2288     1.5374      0.032056 
1.2289     1.4689      0.031888 
1.2291     1.4987      0.031203 
1.2293     1.4459      0.030898 
1.2295     1.4635      0.030539 
1.2297     1.4981      0.030487 
1.2299     1.4341      0.030372 
1.2301     1.4729      0.030266 
1.2303     1.441       0.030273 
1.2304     1.4268      0.0303   
1.2306     1.4805      0.030048 
1.2308     1.4795      0.030037 
1.231      1.4355      0.029928 
1.2312     1.4052      0.029813 
1.2314     1.4959      0.029525 
1.2316     1.4266      0.029553 
1.2318     1.4924      0.029381 
1.2319     1.4636      0.029479 
1.2321     1.4522      0.029254 
1.2323     1.5092      0.029644 
1.2325     1.4138      0.03016  
1.2327     1.4579      0.030649 
1.2329     1.4824      0.030859 
1.2339     1.4294      0.0096736
1.2358     1.4189      0.0096048
1.2377     1.4291      0.009464 
1.2396     1.4327      0.0094017
1.2415     1.438       0.0097522
1.2434     1.4223      0.0095775
1.2453     1.4322      0.009237 
1.2472     1.4342      0.0092538
1.2491     1.4358      0.0092305
1.251      1.441       0.0092435
1.253      1.4492      0.0095719
1.2549     1.4412      0.0099723
1.2568     1.4472      0.0099686
1.2588     1.4278      0.0099656
1.2607     1.4492      0.00969  
1.2627     1.4444      0.009551 
1.2646     1.4567      0.0093914
1.2666     1.461       0.0096198
1.2685     1.4653      0.0095084
1.2705     1.4804      0.0093882
1.2725     1.4919      0.0094924
1.2744     1.4941      0.0095455
1.2764     1.505       0.009801 
1.2784     1.5003      0.010218 
1.2804     1.5128      0.0096596
1.2824     1.5342      0.0096467
1.2844     1.5597      0.0094321
1.2864     1.5603      0.0093801
1.2884     1.5591      0.0092745
1.2904     1.5752      0.0092694
1.2924     1.5945      0.0098149
1.2944     1.5958      0.010175 
1.2965     1.5841      0.0099729
1.2985     1.6073      0.0098312
1.3005     1.6403      0.0097624
1.3026     1.6446      0.009808 
1.3046     1.6691      0.0099607
1.3067     1.68        0.0098896
1.3087     1.7068      0.0096363
1.3108     1.7213      0.0096813
1.3128     1.7317      0.0097971
1.3149     1.7495      0.0099041
1.317      1.7929      0.0099266
1.3191     1.8294      0.010389 
1.3208     1.8634      0.01244  
1.3223     1.8823      0.012238 
1.3237     1.8937      0.012249 
1.3252     1.9184      0.012292 
1.3267     1.971       0.012225 
1.3282     2.0168      0.012151 
1.3296     2.0519      0.012249 
1.3311     2.122       0.012822 
1.3326     2.1661      0.012548 
1.3341     2.2527      0.012302 
1.3355     2.3134      0.012499 
1.337      2.4111      0.012713 
1.3385     2.5389      0.013238 
1.34       2.6867      0.013249 
1.3415     2.8391      0.013161 
1.343      3.0245      0.01338  
1.3445     3.2168      0.013633 
1.346      3.435       0.013931 
1.3475     3.5947      0.014285 
1.349      3.7107      0.014575 
1.3505     3.7818      0.015006 
1.352      3.7113      0.014773 
1.3535     3.5841      0.014321 
1.3551     3.388       0.014138 
1.3566     3.1672      0.01402  
1.3581     2.9919      0.013672 
1.3596     2.8345      0.013575 
1.3611     2.7134      0.01295  
1.3627     2.58        0.012922 
1.3642     2.4855      0.012548 
1.3657     2.4358      0.012221 
1.3673     2.3713      0.012111 
1.3688     2.3383      0.012088 
1.3703     2.3166      0.012233 
1.3719     2.2712      0.012067 
1.3738     2.2895      0.010034 
1.376      2.2736      0.010171 
1.3782     2.2922      0.010214 
1.3804     2.2883      0.010179 
1.3827     2.3267      0.010359 
1.3849     2.3379      0.010932 
1.3871     2.3978      0.010958 
1.3894     2.448       0.010825 
1.3916     2.474       0.010597 
