Literature data from W.P. Abfalterer (2001) [>5.293 MeV] and R.B.  Schwartz [< 5.293 MeV]
Natural Ni (n,tot)
MeV         Barns       Error(Barns)
1.000     2.815     0.04248
1.003     2.828     0.04469
1.007     2.646     0.04229
1.010     2.819     0.04739
1.014     2.365     0.03844
1.017     2.252     0.03613
1.021     1.810     0.02997
1.025     2.006     0.03144
1.028     2.997     0.04824
1.032     2.625     0.03900
1.036     2.396     0.03551
1.039     2.717     0.04090
1.043     2.470     0.03825
1.046     3.226     0.05123
1.050     2.608     0.04054
1.054     2.203     0.03277
1.058     1.986     0.02894
1.061     2.546     0.03701
1.065     2.621     0.03582
1.069     2.027     0.02797
1.073     2.357     0.03181
1.077     2.376     0.03193
1.081     2.881     0.03963
1.085     3.657     0.05526
1.088     3.234     0.04804
1.092     2.419     0.03572
1.096     1.918     0.02887
1.100     2.350     0.03391
1.104     2.766     0.04078
1.108     2.995     0.04352
1.112     3.368     0.05432
1.117     3.192     0.05115
1.121     2.307     0.03477
1.125     2.113     0.03115
1.129     1.824     0.02736
1.133     2.519     0.03526
1.137     2.476     0.03557
1.141     2.295     0.03168
1.146     3.256     0.04720
1.150     3.151     0.04863
1.154     3.775     0.05945
1.159     3.878     0.06568
1.163     3.148     0.05098
1.167     3.552     0.05931
1.171     3.251     0.05281
1.176     2.333     0.03425
1.180     1.913     0.02858
1.185     2.557     0.03719
1.189     2.847     0.04143
1.194     2.809     0.03845
1.198     2.653     0.03707
1.203     2.644     0.03758
1.207     2.807     0.04142
1.212     3.163     0.04510
1.217     3.133     0.04598
1.221     3.057     0.04438
1.226     3.796     0.05731
1.231     3.226     0.04529
1.235     2.629     0.03800
1.240     3.472     0.05113
1.245     2.673     0.03834
1.250     2.985     0.04062
1.255     3.184     0.04736
1.260     3.100     0.04486
1.265     3.065     0.04343
1.269     2.953     0.04071
1.274     2.980     0.04162
1.279     3.023     0.04290
1.284     3.371     0.05021
1.289     3.597     0.05752
1.294     4.486     0.07318
1.300     3.447     0.05066
1.305     3.255     0.04708
1.310     3.165     0.04627
1.315     3.698     0.05553
1.320     3.731     0.05895
1.326     3.179     0.04814
1.331     3.548     0.05503
1.336     3.655     0.05709
1.342     3.263     0.05034
1.347     3.864     0.06270
1.353     4.047     0.06331
1.358     3.155     0.04715
1.363     2.412     0.03253
1.369     2.407     0.03218
1.375     3.466     0.04952
1.380     3.584     0.05464
1.386     3.124     0.04727
1.391     2.760     0.04062
1.397     2.466     0.03590
1.403     2.624     0.03839
1.409     2.652     0.03667
1.414     3.087     0.04360
1.420     2.940     0.04069
1.426     3.369     0.04891
1.432     3.350     0.05130
1.438     3.365     0.05271
1.444     2.877     0.04256
1.450     2.970     0.04529
1.456     3.228     0.04826
1.462     3.421     0.05222
1.468     3.814     0.05771
1.475     3.500     0.05305
1.481     3.052     0.04319
1.487     3.072     0.04501
1.493     3.221     0.04628
1.500     3.544     0.05311
1.506     3.508     0.05191
1.512     2.649     0.03842
1.519     3.170     0.04741
1.525     2.925     0.04426
1.532     2.847     0.04112
1.538     2.798     0.04208
1.545     2.812     0.04154
1.552     3.129     0.04746
1.559     2.915     0.04095
1.565     3.246     0.04679
1.572     3.125     0.04454
1.579     2.980     0.04100
1.586     3.057     0.04345
1.593     2.660     0.03727
1.600     2.173     0.03093
1.607     2.673     0.03880
1.614     3.641     0.05410
1.621     3.305     0.04720
1.628     3.034     0.04190
1.635     2.681     0.03547
1.643     2.644     0.03473
1.650     2.994     0.04236
1.657     3.034     0.04317
1.665     3.229     0.04503
1.672     3.649     0.05481
1.680     3.165     0.04518
1.687     2.842     0.03988
1.695     2.547     0.03525
1.702     2.925     0.04090
1.710     3.830     0.05878
1.718     3.518     0.05381
1.726     2.899     0.04235
1.734     2.880     0.04202
1.742     2.953     0.04543
1.750     2.846     0.04286
1.758     2.691     0.03948
1.766     2.673     0.03851
1.774     2.869     0.04174
1.782     2.803     0.04067
1.790     2.850     0.03951
1.799     4.024     0.06030
1.807     3.810     0.05715
1.815     3.268     0.04506
1.824     2.674     0.03534
1.832     2.555     0.03471
1.841     2.740     0.03795
1.850     2.998     0.04196
1.859     2.862     0.04112
1.867     2.365     0.03213
1.876     2.228     0.03021
1.885     2.630     0.03660
1.894     3.068     0.04516
1.903     3.160     0.04813
1.912     3.030     0.04611
1.921     2.655     0.03819
1.931     2.392     0.03471
1.940     2.586     0.03923
1.949     2.938     0.04400
1.959     2.386     0.03370
1.968     2.695     0.03945
1.978     3.113     0.04402
1.988     2.976     0.04276
1.997     2.887     0.04297
2.007     2.772     0.04117
2.017     2.853     0.04435
2.027     2.923     0.04376
2.037     3.254     0.04934
2.047     3.107     0.05171
2.057     3.000     0.04541
2.068     3.210     0.04929
2.078     2.897     0.04650
2.088     2.835     0.04465
2.099     2.919     0.04487
2.109     2.714     0.04067
2.120     3.008     0.04512
2.131     3.534     0.05795
2.142     3.354     0.05368
2.153     3.186     0.04946
2.164     2.582     0.03969
2.175     2.771     0.04157
2.186     3.146     0.05036
2.197     2.924     0.04500
2.208     2.878     0.04462
2.220     2.789     0.04174
2.231     2.971     0.04812
2.243     2.988     0.04679
2.255     2.956     0.04609
2.266     3.125     0.05234
2.278     2.969     0.04749
2.290     2.937     0.04656
2.302     3.139     0.05018
2.314     3.322     0.05503
2.326     3.106     0.04846
2.339     3.031     0.04830
2.351     3.127     0.04948
2.364     3.327     0.05239
2.377     2.872     0.04051
2.389     2.939     0.04438
2.402     3.108     0.04753
2.415     3.006     0.04730
2.428     2.844     0.04364
2.441     3.322     0.05278
2.454     3.355     0.05354
2.468     3.121     0.05010
2.481     2.807     0.04534
2.495     2.982     0.05028
2.509     2.928     0.05053
2.522     2.905     0.05118
2.536     3.309     0.05843
2.550     3.225     0.05860
2.565     3.447     0.06477
2.579     3.101     0.05508
2.593     3.205     0.05945
2.608     3.223     0.05652
2.623     3.183     0.05256
2.637     2.909     0.04830
2.652     2.768     0.04584
2.667     2.934     0.04879
2.682     2.986     0.04708
2.698     2.812     0.04718
2.713     3.011     0.05144
2.729     3.222     0.05686
2.744     3.333     0.06017
2.760     3.120     0.05377
2.776     3.475     0.06502
2.792     3.252     0.06007
2.808     3.369     0.06096
2.825     3.398     0.06208
2.841     2.849     0.04894
2.858     3.220     0.05725
2.875     3.399     0.06122
2.892     3.250     0.05915
2.909     3.355     0.06234
2.926     3.273     0.06038
2.944     3.155     0.05713
2.961     3.075     0.05650
2.979     3.757     0.06969
2.997     3.149     0.05685
3.015     3.305     0.05900
3.033     3.139     0.05579
3.051     3.203     0.05756
3.070     3.210     0.05866
3.089     3.001     0.05516
3.107     2.983     0.05572
3.127     3.143     0.05642
3.146     3.110     0.05891
3.165     3.046     0.05381
3.185     3.012     0.05715
3.205     3.464     0.06634
3.225     3.370     0.06380
3.245     3.212     0.06154
3.265     3.243     0.06218
3.286     3.214     0.06306
3.306     3.346     0.06516
3.327     3.416     0.06662
3.349     3.401     0.06801
3.370     3.456     0.06616
3.391     3.413     0.06906
3.413     3.284     0.06239
3.435     3.373     0.06344
3.457     3.504     0.06832
3.480     3.462     0.06707
3.502     3.471     0.06794
3.525     3.504     0.06801
3.548     3.559     0.07041
3.571     3.628     0.07185
3.595     3.469     0.07243
3.619     3.379     0.06683
3.643     3.429     0.06817
3.667     3.633     0.06932
3.691     3.356     0.05988
3.716     3.379     0.06377
3.741     3.354     0.06382
3.766     3.501     0.07073
3.792     3.384     0.06279
3.817     3.487     0.06329
3.843     3.459     0.06225
3.870     3.637     0.06486
3.896     3.431     0.06060
3.923     3.423     0.06486
3.950     3.480     0.06669
3.977     3.466     0.06498
4.005     3.487     0.06505
4.033     3.438     0.06587
4.061     3.511     0.06484
4.090     3.398     0.06168
4.118     3.453     0.06129
4.148     3.477     0.06324
4.177     3.411     0.06082
4.207     3.617     0.06498
4.237     3.611     0.06184
4.267     3.564     0.06654
4.298     3.403     0.06150
4.329     3.700     0.06870
4.361     3.524     0.06345
4.392     3.597     0.06335
4.424     3.593     0.06168
4.457     3.719     0.06455
4.490     3.726     0.06628
4.523     3.585     0.06636
4.556     3.670     0.06300
4.590     3.493     0.06190
4.625     3.603     0.06218
4.659     3.627     0.06480
4.694     3.655     0.06285
4.730     3.713     0.06334
4.766     3.540     0.06111
4.802     3.642     0.06308
4.839     3.619     0.06176
4.876     3.550     0.06262
4.913     3.640     0.06263
4.951     3.508     0.06134
4.990     3.736     0.06612
5.029     3.831     0.06758
5.068     3.647     0.06754
5.108     3.722     0.06785
5.148     3.764     0.06671
5.189     3.585     0.06566
5.230     3.707     0.06492
5.272     3.734     0.06128
5.280     3.825     0.06342
5.293       3.747       0.01424      
5.346       3.704       0.01451      
