Literature data from R. B. Schwartz (1973)
Natural Ni (n,tot)
MeV       Barns     Error(Barns)
1.000     2.815     0.04248
1.001     2.843     0.04529
1.001     2.981     0.04721
1.002     2.997     0.04820
1.003     2.854     0.04502
1.003     2.828     0.04469
1.004     2.715     0.04371
1.005     2.646     0.04217
1.006     2.636     0.04244
1.006     2.721     0.04284
1.007     2.646     0.04229
1.008     2.498     0.03894
1.008     2.604     0.04051
1.009     2.618     0.04149
1.010     2.791     0.04527
1.010     2.819     0.04739
1.011     2.719     0.04608
1.012     2.704     0.04325
1.013     2.454     0.04139
1.013     2.430     0.04016
1.014     2.365     0.03844
1.015     2.266     0.03727
1.015     2.323     0.03753
1.016     2.260     0.03656
1.017     2.315     0.03711
1.017     2.252     0.03613
1.018     2.115     0.03520
1.019     2.075     0.03334
1.020     2.013     0.03216
1.020     1.889     0.03128
1.021     1.810     0.02997
1.022     1.928     0.03147
1.022     1.932     0.03173
1.023     1.904     0.03027
1.024     1.938     0.03123
1.025     2.006     0.03144
1.025     2.169     0.03457
1.026     2.483     0.04350
1.027     2.686     0.04133
1.028     2.880     0.04616
1.028     2.997     0.04824
1.029     3.006     0.04784
1.030     2.964     0.04516
1.030     2.905     0.04483
1.031     2.810     0.04240
1.032     2.625     0.03900
1.033     2.601     0.03790
1.033     2.473     0.03690
1.034     2.360     0.03565
1.035     2.369     0.03685
1.036     2.396     0.03551
1.036     2.483     0.03743
1.037     2.708     0.04065
1.038     2.723     0.04230
1.038     2.707     0.04224
1.039     2.717     0.04090
1.040     2.648     0.03710
1.041     2.671     0.04059
1.041     2.497     0.03987
1.042     2.499     0.03805
1.043     2.470     0.03825
1.044     2.516     0.03817
1.044     2.685     0.04115
1.045     2.784     0.04290
1.046     3.059     0.04895
1.046     3.226     0.05123
1.047     3.258     0.05281
1.048     2.963     0.04611
1.049     2.937     0.04598
1.050     2.694     0.04115
1.050     2.608     0.04054
1.051     2.537     0.03802
1.052     2.465     0.03625
1.052     2.308     0.03441
1.053     2.278     0.03365
1.054     2.203     0.03277
1.055     2.193     0.03202
1.056     2.073     0.02972
1.056     2.009     0.02937
1.057     1.957     0.02839
