Literature data from D.C. Larson (1980)
MeV          Barns       Error(barns)
5.2344       7.23        0.10477
5.2552       7.2075      0.10424
5.2762       7.3667      0.10394
5.2972       7.2676      0.10312
5.3184       7.2435      0.10368
5.3397       7.3931      0.11072
5.3612       7.1524      0.11816
5.3827       7.1843      0.12007
5.4044       7.2845      0.11417
5.4263       7.248       0.10747
5.4482       7.1498      0.10469
5.4703       7.2866      0.10267
5.4926       7.1644      0.10073
5.5149       7.2571      0.10097
5.5374       7.2102      0.09971
5.5601       7.0151      0.09879
5.5829       6.969       0.09857
5.6058       6.9459      0.09730
5.6289       7.0782      0.09713
5.6521       6.8731      0.09569
5.6754       6.9837      0.09582
5.6989       7.0013      0.09537
5.7226       6.9279      0.09398
5.7464       6.7405      0.09345
5.7703       6.7781      0.09229
5.7944       6.7552      0.09242
5.8187       6.7062      0.0919 
5.8431       6.6832      0.09187
5.8676       6.7667      0.09138
5.8923       6.6863      0.09083
5.9172       6.7108      0.09117
5.9422       6.675       0.09025
5.9674       6.5244      0.09001
5.9927       6.5581      0.08945
6.0182       6.6134      0.08981
6.0439       6.5831      0.08955
6.0698       6.622       0.08946
6.0958       6.5929      0.08959
6.1219       6.4165      0.08916
6.1483       6.5679      0.09020
6.1748       6.3237      0.08997
6.2015       6.3765      0.09281
6.2283       6.4357      0.09866
6.2554       6.4337      0.11099
6.2826       6.4721      0.12416
6.31         6.266       0.12338
6.3375       6.1912      0.10831
6.3653       6.2228      0.09521
6.3932       6.2726      0.08772
6.4213       6.1314      0.08301
6.4496       6.2719      0.08168
6.4781       6.2854      0.08069
6.5068       6.177       0.07832
6.5357       6.1537      0.07525
6.5648       6.1431      0.07224
6.594        6.2244      0.07006
6.6235       6.1032      0.06957
6.6531       6.1269      0.07030
6.683        6.0387      0.07035
6.7131       6.0742      0.07007
6.7433       6.057       0.06963
6.7738       6.0223      0.06896
6.8045       5.997       0.06808
6.8354       5.9744      0.06767
6.8665       5.9833      0.06702
6.8978       6.053       0.06655
6.9293       5.9376      0.06572
6.961        5.973       0.06532
6.993        5.9337      0.06486
7.0252       5.8656      0.06435
7.0576       5.9433      0.06434
7.0903       5.8372      0.06387
