Literature data from W. P. Poenitz et al (1983)
Natural Rh (n,tot)
MeV         Barns       Error(Barns)
0.215       8.298       0.1377     
0.236       8.217       0.1183     
0.260       8.133       0.1072     
0.322       8.101       0.1246     
0.365       7.886       0.1437     
0.406       7.875       0.1334     
0.450       7.513       0.1726     
0.495       7.594       0.1624     
0.550       7.478       0.1622     
0.580       7.335       0.162      
0.600       7.484       0.1621     
0.652       7.31        0.1421     
0.700       7.198       0.1518     
0.745       7.136       0.1025     
0.786       6.894       0.08279    
0.838       6.823       0.08272    
0.890       6.763       0.08266    
0.950       6.632       0.08256    
1.010       6.483       0.08233    
1.320       6.042       0.08203    
1.600       5.542       0.08171    
1.820       5.378       0.04336    
1.857       5.307       0.04279    
1.896       5.285       0.04261    
1.936       5.243       0.04227    
1.977       5.173       0.04171    
2.019       5.122       0.04129    
2.063       5.109       0.03754    
2.109       5.125       0.03766    
2.156       4.961       0.03646    
2.204       4.922       0.03617    
2.255       4.887       0.03591    
2.307       4.882       0.03588    
2.361       4.816       0.03539    
2.418       4.776       0.0351     
2.476       4.752       0.03492    
2.536       4.701       0.03455    
2.599       4.687       0.03444    
2.665       4.622       0.03268    
2.733       4.512       0.0319     
2.804       4.513       0.03191    
2.877       4.468       0.03159    
2.954       4.39        0.03104    
3.034       4.357       0.03081    
3.117       4.285       0.0303     
3.204       4.255       0.03009    
3.295       4.213       0.02979    
3.389       4.183       0.02958    
3.488       4.144       0.0293     
3.592       4.108       0.02905    
3.700       4.108       0.02905    
3.814       4.07        0.02878    
3.933       4.052       0.03112    
4.058       4.061       0.03119    
4.188       4.104       0.03434    
4.326       4.086       0.03723    
4.470       4.069       0.04028    
4.623       4.061       0.0402     
4.783       4.05        0.04009    
4.952       4.061       0.0402     
5.130       4.173       0.04131    
5.318       4.06        0.04354     
5.518       4.116       0.04414    
5.728       4.125       0.04424    
5.951       4.202       0.04506    
6.188       4.206       0.0451     
6.440       4.222       0.04528    
6.707       4.327       0.0464     
6.992       4.239       0.04546    
7.296       4.338       0.04652    
7.620       4.34        0.05024     
7.967       4.375       0.05064    
8.339       4.456       0.05158    
8.738       4.454       0.05545    
9.166       4.583       0.05706    
9.627       4.457       0.05946    
10.12       4.522       0.06033    
10.66       4.503       0.06008    
11.25       4.373       0.05444    
11.88       4.47        0.05174     
12.57       4.397       0.04353    
13.32       4.297       0.04254    
14.14       4.223       0.03847    
15.04       4.197       0.03511    
16.03       4.076       0.0341     
17.12       3.996       0.03343    
18.34       3.896       0.03549    
