Literature data from W. P. Poenitz et al (1983)
Natural Rh (n,tot)
MeV         Error(MeV)    Barns       Error(Barns)
0.215       0.024         8.298       0.1377     
0.236       0.024         8.217       0.1183     
0.260       0.024         8.133       0.1072     
0.322       0.023         8.101       0.1246     
0.365       0.023         7.886       0.1437     
0.406       0.022         7.875       0.1334     
0.450       0.022         7.513       0.1726     
0.495       0.021         7.594       0.1624     
0.550       0.045         7.478       0.1622     
0.580       0.021         7.335       0.162      
0.600       0.044         7.484       0.1621     
0.652       0.043         7.31        0.1421     
0.700       0.042         7.198       0.1518     
0.745       0.041         7.136       0.1025     
0.786       0.04          6.894       0.08279    
0.838       0.039         6.823       0.08272    
0.890       0.038         6.763       0.08266    
0.950       0.037         6.632       0.08256    
1.010       0.037         6.483       0.08233    
1.320       0.035         6.042       0.08203    
1.600       0.033         5.542       0.08171    
1.820       0.01868       5.378       0.04336    
1.857       0.01896       5.307       0.04279    
1.896       0.01957       5.285       0.04261    
1.936       0.02021       5.243       0.04227    
1.977       0.02087       5.173       0.04171    
2.019       0.0216        5.122       0.04129    
2.063       0.02236       5.109       0.03754    
2.109       0.02312       5.125       0.03766    
2.156       0.02393       4.961       0.03646    
2.204       0.02481       4.922       0.03617    
2.255       0.02571       4.887       0.03591    
2.307       0.02663       4.882       0.03588    
2.361       0.02762       4.816       0.03539    
2.418       0.02867       4.776       0.0351     
2.476       0.02973       4.752       0.03492    
2.536       0.03086       4.701       0.03455    
2.599       0.03209       4.687       0.03444    
2.665       0.03338       4.622       0.03268    
2.733       0.03469       4.512       0.0319     
2.804       0.03609       4.513       0.03191    
2.877       0.03758       4.468       0.03159    
2.954       0.03916       4.39        0.03104    
3.034       0.04078       4.357       0.03081    
3.117       0.04253       4.285       0.0303     
3.204       0.0444        4.255       0.03009    
3.295       0.04635       4.213       0.02979    
3.389       0.04843       4.183       0.02958    
3.488       0.05063       4.144       0.0293     
3.592       0.05298       4.108       0.02905    
3.700       0.05546       4.108       0.02905    
3.814       0.05809       4.07        0.02878    
3.933       0.06095       4.052       0.03112    
4.058       0.06392       4.061       0.03119    
4.188       0.0671        4.104       0.03434    
4.326       0.07053       4.086       0.03723    
4.470       0.07417       4.069       0.04028    
4.623       0.07811       4.061       0.0402     
4.783       0.08231       4.05        0.04009    
4.952       0.0868        4.061       0.0402     
5.130       0.09163       4.173       0.04131    
5.318       0.09685       4.06        0.04354     
5.518       0.1025        4.116       0.04414    
5.728       0.1085        4.125       0.04424    
5.951       0.115         4.202       0.04506    
6.188       0.1221        4.206       0.0451     
6.440       0.1298        4.222       0.04528    
6.707       0.1381        4.327       0.0464     
6.992       0.1472        4.239       0.04546    
7.296       0.157         4.338       0.04652    
7.620       0.1678        4.34        0.05024     
7.967       0.1796        4.375       0.05064    
8.339       0.1926        4.456       0.05158    
8.738       0.2067        4.454       0.05545    
9.166       0.2224        4.583       0.05706    
9.627       0.2397        4.457       0.05946    
10.12       0.2588        4.522       0.06033    
10.66       0.28          4.503       0.06008    
11.25       0.3037        4.373       0.05444    
11.88       0.3301        4.47        0.05174     
12.57       0.3597        4.397       0.04353    
13.32       0.393         4.297       0.04254    
14.14       0.4305        4.223       0.03847    
15.04       0.4729        4.197       0.03511    
16.03       0.5213        4.076       0.0341     
17.12       0.5765        3.996       0.03343    
18.34       0.6399        3.896       0.03549    
