Literature data from C. M. Perey (1993)
Ni-58 (n,tot)
MeV       Barns       Error(Barns)
67.481    3.0095      0.55096      
65.905    2.5393      0.47483      
64.387    2.497       0.43825      
62.921    2.4418      0.43107      
61.507    2.0521      0.42118      
60.142    2.2332      0.39707      
58.822    2.4665      0.37355      
57.547    2.4995      0.36383      
56.770    2.3939      0.69667      
56.465    2.6961      0.70091      
56.161    2.0501      0.69924      
55.861    3.6767      0.70156      
55.563    2.9838      0.67461      
55.267    2.0672      0.67227      
54.974    3.354       0.66709      
54.683    2.3033      0.63226      
54.394    1.3617      0.66957      
54.108    2.0984      0.62109      
53.825    3.3879      0.67856      
53.543    .14621      0.65172      
53.264    3.2497      0.64618      
52.987    2.809       0.62247      
52.712    1.64        0.62825      
52.439    1.5055      0.61331      
52.169    1.1403      0.62377      
51.907    1.921       0.59554      
51.634    1.8788      0.58167      
51.370    2.763       0.59487      
51.108    3.1772      0.58824      
50.848    2.7581      0.57146      
50.590    2.7474      0.58227      
50.334    1.9495      0.55418      
50.080    2.7711      0.57701      
49.828    2.8686      0.55326      
49.578    1.9304      0.55081      
49.330    2.0532      0.56441      
49.084    2.6889      0.53794      
48.840    2.0689      0.52021      
48.238    2.1126      0.26479      
47.297    1.9053      0.25657      
46.384    1.5636      0.25287      
45.498    1.9699      0.24422      
44.638    2.2901      0.23993      
43.802    2.2055      0.23153      
42.990    2.0803      0.2298       
42.201    1.9524      0.22165      
41.623    2.0165      0.31342      
41.245    1.9882      0.30688      
40.872    2.2854      0.29769      
40.504    2.1415      0.30901      
40.141    2.1925      0.29864      
39.783    2.7149      0.29514      
39.430    2.3002      0.29288      
39.082    2.8751      0.28958      
38.739    2.1975      0.28499      
38.407    1.9804      0.29133      
38.066    2.3426      0.28295      
37.736    2.1412      0.27545      
37.410    2.0046      0.27359      
37.089    2.1421      0.27656      
36.772    1.5891      0.26765      
36.459    2.176       0.2757       
35.771    2.1385      0.14172      
34.737    1.9527      0.14015      
33.748    2.0929      0.13636      
32.802    2.0113      0.13324      
31.895    1.9113      0.13062      
31.027    2.2837      0.12618      
30.193    2.0818      0.12221      
29.394    2.3331      0.11835      
28.626    2.0798      0.11504      
27.888    1.855       0.11386      
27.179    2.0649      0.10997      
26.497    2.1745      0.10691      
25.840    2.0924      0.1035       
25.208    2.085       0.10111      
24.599    2.2458      0.098289     
24.013    2.0775      0.094778     
23.447    2.2589      0.092467     
22.901    2.2192      0.089054     
22.375    2.1931      0.086629     
21.866    1.9969      0.083897     
21.375    2.1332      0.08149      
20.907    2.3259      0.079586     
20.441    2.1069      0.078053     
19.998    2.2912      0.076043     
19.568    2.1866      0.073632     
19.153    2.2659      0.072819     
18.751    2.3319      0.070356     
18.361    2.173       0.06862      
17.983    2.3674      0.067199     
17.618    2.3481      0.06122      
17.263    2.3682      0.057279     
16.919    2.4872      0.05606      
16.585    2.369       0.054463     
16.261    2.3901      0.053232     
15.947    2.5312      0.052154     
15.642    2.525       0.051759     
15.345    2.5469      0.051024     
15.057    2.5645      0.050393     
14.777    2.609       0.049198     
14.505    2.6476      0.047776     
14.240    2.6082      0.047553     
13.983    2.6969      0.047247     
13.732    2.7626      0.045737     
13.488    2.7246      0.045021     
13.251    2.7846      0.044391     
13.020    2.8177      0.043346     
12.795    2.8358      0.042781     
12.576    2.8634      0.042289     
12.362    2.9063      0.041248     
12.154    2.9115      0.039667     
11.951    2.8559      0.039612     
11.753    2.9836      0.039968     
11.560    2.9677      0.039129     
11.372    3.0271      0.037969     
11.188    3.0002      0.03716      
11.009    3.0544      0.036323     
10.834    3.1162      0.035644     
10.664    3.1591      0.035522     
10.497    3.1543      0.035356     
10.334    3.1516      0.035018     
10.175    3.2017      0.034458     
10.020    3.1891      0.033538     
9.868     3.2796      0.032845     
9.719     3.1935      0.031092     
9.574     3.2736      0.028668     
9.432     3.2917      0.027695     
9.294     3.2865      0.026807     
9.158     3.3028      0.026365     
9.025     3.2674      0.026364     
8.896     3.3255      0.026449     
8.769     3.3451      0.026512     
8.644     3.3676      0.026183     
8.523     3.3672      0.025992     
8.404     3.3916      0.025613     
8.287     3.4477      0.025231     
8.218     3.376       0.055353     
8.196     3.5095      0.054819     
8.173     3.4253      0.054185     
8.150     3.3844      0.053539     
8.128     3.3826      0.052747     
8.106     3.472       0.052474     
8.083     3.555       0.051748     
8.061     3.5273      0.051402     
8.039     3.4689      0.0513       
8.017     3.4375      0.051219     
7.915     3.3509      0.13392      
7.896     3.608       0.13441      
7.878     3.5261      0.1337       
7.860     3.4618      0.13166      
7.841     3.6424      0.13185      
7.760     3.4741      0.046988     
7.715     3.2096      0.12316      
7.698     3.5196      0.12653      
7.680     3.4833      0.12701      
7.663     3.7966      0.12728      
7.645     3.3811      0.12835      
7.627     3.4508      0.12835      
7.494     3.4993      0.041188     
7.327     3.5111      0.045166     
7.165     3.5337      0.044968     
7.009     3.4999      0.044066     
6.858     3.571       0.043584     
6.712     3.518       0.043299     
6.570     3.6385      0.044541     
6.488     3.6899      0.13626      
6.475     3.5609      0.13706      
6.461     3.7343      0.13577      
6.447     3.4356      0.13549      
6.434     3.818       0.13607      
6.420     3.6415      0.13684      
6.407     3.611       0.13631      
6.394     3.5247      0.13629      
6.380     3.7553      0.13498      
6.367     3.9014      0.13352      
6.354     3.8384      0.13023      
6.340     3.7213      0.12952      
6.327     3.8631      0.12789      
6.301     3.4793      0.12018      
6.288     3.9837      0.12048      
6.275     3.7072      0.12209      
6.262     3.7576      0.12393      
6.249     3.5068      0.12797      
6.236     3.502       0.12808      
6.223     3.9933      0.13071      
6.210     3.8275      0.13146      
6.197     3.6263      0.13015      
6.185     3.7158      0.1311       
6.172     3.7806      0.13151      
6.159     3.6055      0.13132      
6.147     3.8912      0.13292      
6.134     3.8586      0.13387      
6.122     3.7803      0.13125      
6.109     3.5159      0.13251      
6.097     3.8145      0.13172      
6.084     3.4783      0.13233      
6.072     3.5141      0.13316      
6.059     3.7542      0.13365      
6.047     3.6437      0.13386      
6.035     3.5956      0.13433      
6.023     3.6384      0.13404      
6.010     3.7904      0.13324      
5.998     3.4628      0.13454      
5.986     3.6738      0.13489      
5.974     3.734       0.13462      
5.962     3.5813      0.1346       
5.950     3.6735      0.13493      
5.938     3.6025      0.13643      
5.926     3.7849      0.13872      
5.914     3.8305      0.1371       
5.902     3.7946      0.1363       
5.890     3.8186      0.13789      
5.878     3.6026      0.1357       
5.867     3.6392      0.13578      
5.855     3.5125      0.13598      
5.843     3.6315      0.13578      
5.832     3.7028      0.13733      
5.820     3.7233      0.13737      
5.808     3.7142      0.13707      
5.797     3.6819      0.1351       
5.785     3.5576      0.13542      
5.774     3.5133      0.13569      
5.762     3.4121      0.13492      
5.751     3.9984      0.1375       
5.739     3.8187      0.13577      
5.728     3.6674      0.13761      
5.717     3.4639      0.13782      
5.705     3.7938      0.13637      
5.694     3.821       0.13697      
5.683     3.7616      0.13807      
5.672     3.6699      0.14062      
5.661     3.4617      0.13635      
5.650     3.5521      0.13619      
5.638     3.3777      0.13686      
5.627     3.4739      0.13438      
5.616     3.4751      0.13617      
5.605     3.7047      0.13872      
5.594     3.595       0.13822      
5.583     3.4146      0.13775      
5.573     3.4944      0.13492      
5.562     3.6315      0.13823      
5.551     4.0284      0.13726      
5.540     3.5072      0.13719      
5.529     3.512       0.13699      
5.519     3.8087      0.13731      
5.508     3.3188      0.13476      
5.497     3.5648      0.13853      
5.487     3.4054      0.13713      
5.476     3.7662      0.13815      
5.465     3.7185      0.13822      
5.455     4.0115      0.13872      
5.444     3.4167      0.13872      
5.434     3.4561      0.13796      
5.423     3.6457      0.13775      
5.413     3.7639      0.13861      
5.402     3.785       0.14007      
5.392     3.6492      0.13856      
5.382     3.8543      0.13948      
5.371     3.7274      0.13753      
5.361     3.5398      0.1373       
5.351     3.7208      0.14156      
5.341     3.5464      0.14194      
5.331     3.8379      0.14285      
5.320     3.4836      0.14022      
5.310     3.3975      0.14016      
5.300     3.9905      0.14173      
5.290     3.5645      0.1409       
5.280     3.9154      0.14325      
5.270     3.8214      0.14115      
5.260     3.8854      0.14251      
5.250     3.7803      0.14245      
5.240     3.937       0.14314      
5.230     3.5166      0.14136      
5.220     3.8838      0.14302      
5.210     3.8025      0.14177      
5.201     3.6951      0.14109      
5.191     3.9539      0.14076      
5.181     3.5595      0.14158      
5.171     3.5267      0.13935      
5.162     3.1824      0.13819      
5.152     3.7593      0.14223      
5.142     3.685       0.13979      
5.133     3.9972      0.14271      
5.123     3.8494      0.14429      
5.113     3.5536      0.14302      
5.104     3.3621      0.13927      
5.094     3.8245      0.14181      
5.085     3.7803      0.14227      
5.075     3.5978      0.14235      
5.066     3.607       0.14082      
5.057     3.4804      0.13945      
5.047     3.7239      0.1416       
5.038     3.1305      0.13738      
5.028     3.8386      0.13983      
5.019     3.6608      0.14287      
5.010     3.8862      0.14152      
5.001     3.6914      0.1417       
4.991     3.6213      0.14011      
4.982     3.7737      0.14143      
4.973     3.5869      0.13979      
4.964     3.2408      0.13866      
4.955     3.6413      0.13991      
4.946     3.4013      0.13749      
4.937     3.6498      0.13761      
4.927     3.4098      0.13967      
4.918     3.3358      0.13911      
4.909     4.0475      0.14449      
4.900     3.863       0.14034      
4.892     3.2176      0.1392       
4.883     3.5917      0.14102      
4.874     3.3255      0.13981      
4.865     3.5318      0.14061      
4.856     3.3057      0.13985      
4.847     3.4994      0.14221      
4.838     3.5492      0.13994      
4.830     3.33        0.14074      
4.821     3.8001      0.14155      
4.812     3.4954      0.14037      
4.803     3.2477      0.13816      
4.795     3.2969      0.13934      
4.786     3.5091      0.13997      
4.777     3.3644      0.14027      
4.769     3.4793      0.13866      
4.760     3.5067      0.14086      
4.751     3.5604      0.1402       
4.743     3.6915      0.14143      
4.734     4.0771      0.14278      
4.726     3.6699      0.14119      
4.717     3.7225      0.14029      
4.709     3.3383      0.13976      
4.701     3.3224      0.1396       
4.692     3.5808      0.13963      
4.684     3.4142      0.13942      
4.675     3.6468      0.14124      
4.667     3.2305      0.13997      
