W.P.Abfalterer et al, Jour: Physical Review Letters, Vol.81, p.57 (1998)
[H-2 n,tot]-[H-1 n,tot] (Abfalterer et al (1998))
MeV        Barns       Error (Barns)
9.16       0.09664     0.00169 
9.53       0.09732     0.0017  
9.92       0.102       0.00184 
10.33      0.1069      0.00188 
10.75      0.1112      0.00164 
11.19      0.1097      0.00234 
11.64      0.1118      0.00249 
12.12      0.1185      0.00211 
12.61      0.1143      0.00203 
13.13      0.117       0.00206 
13.66      0.1186      0.00206 
14.22      0.1205      0.002   
14.8       0.1142      0.00213 
15.41      0.1217      0.00194 
16.04      0.1218      0.00181 
16.69      0.1225      0.00171 
17.37      0.1189      0.00177 
18.08      0.1192      0.00164 
18.82      0.1168      0.00163 
19.59      0.1173      0.00155 
20.39      0.1164      0.001   
21.22      0.115       0.000947
22.08      0.1114      0.000889
22.99      0.1105      0.000844
23.92      0.1092      0.0008  
24.9       0.1061      0.000764
25.92      0.1021      0.000728
26.97      0.1008      0.000692
28.07      0.09806     0.000657
29.22      0.09573     0.000626
30.41      0.09382     0.000598
31.65      0.08994     0.000569
32.95      0.08678     0.000541
34.29      0.0852      0.000513
35.69      0.08265     0.000488
37.15      0.07917     0.000465
38.66      0.07706     0.000443
40.24      0.07424     0.000422
41.88      0.07111     0.000401
43.59      0.06841     0.000382
45.37      0.06586     0.000364
47.23      0.06359     0.000347
49.15      0.06075     0.000332
51.16      0.05857     0.000317
53.25      0.05655     0.000304
55.42      0.05359     0.000291
57.68      0.05119     0.000279
60.04      0.04973     0.000268
62.49      0.04747     0.000258
65.04      0.04605     0.000248
67.69      0.0434      0.000239
70.46      0.0418      0.00023 
73.33      0.04001     0.000223
76.33      0.03861     0.000215
79.44      0.03692     0.000208
82.68      0.03562     0.000202
86.06      0.03434     0.000196
89.57      0.03334     0.000191
93.23      0.03182     0.000186
97.03      0.03065     0.000181
101.       0.02972     0.000177
105.1      0.02887     0.000173
109.4      0.02812     0.000169
113.9      0.02733     0.000166
118.5      0.02664     0.000162
123.4      0.02579     0.00016 
128.4      0.02563     0.000157
133.6      0.02485     0.000155
139.1      0.02438     0.000153
144.8      0.0239      0.000151
150.7      0.02358     0.00015 
156.8      0.02332     0.000149
163.2      0.02313     0.000148
169.9      0.02303     0.000147
176.8      0.02279     0.000146
184.       0.02246     0.000146
191.5      0.02229     0.000146
199.4      0.02249     0.000146
207.5      0.02244     0.000146
216.       0.02227     0.000146
224.8      0.0226      0.000147
234.       0.0227      0.000148
243.5      0.02243     0.000148
253.5      0.02274     0.00015 
263.8      0.02265     0.000151
274.6      0.02267     0.000152
285.8      0.0232      0.000153
297.4      0.02319     0.000155
309.6      0.02358     0.000156
322.2      0.02377     0.000157
335.4      0.0241      0.000158
349.       0.02466     0.000159
363.3      0.02499     0.00016 
378.1      0.02509     0.00016 
393.6      0.0256      0.000161
409.6      0.02632     0.000161
426.3      0.02699     0.000162
443.7      0.02772     0.000163
461.9      0.02851     0.000166
480.7      0.02931     0.000172
500.3      0.03015     0.000181
