R.W.Finlay et al, Jour: Physical Review, Part C, Nuclear Physics, Vol.47, p.237 (1993)
Natural O n,tot (R.W. Finlay et al (1993))
MeV         Barns       Error (Barns)      
5.29253     1.06204     0.0002629   
5.34572     1.02645     0.0002146   
5.39945     1.01323     0.0002222   
5.45371     0.958728    0.0002629   
5.50852     1.02039     0.0002621   
5.56389     1.29755     0.0002458   
5.6198      1.77796     0.0002298   
5.67628     1.69314     0.0002209   
5.73333     1.37054     0.0002372   
5.79095     1.19292     0.0002405   
5.84915     1.12855     0.000227    
5.90794     1.56506     0.0001765   
5.96732     0.97969     0.0002154   
6.02729     1.08955     0.0002105   
6.08787     1.14343     0.0002075   
6.14905     0.925758    0.0002569   
6.21085     0.894783    0.0002785   
6.27327     0.879108    0.0002435   
6.33632     0.948451    0.0002295   
6.4         1.31773     0.0002096   
6.46432     0.703685    0.0002116   
6.52929     0.679506    0.00025     
6.59491     0.923969    0.0002299   
6.66119     1.02016     0.0002606   
6.72814     1.01955     0.0002305   
6.79576     1.33243     0.0002206   
6.86406     0.956277    0.0002229   
6.93304     0.830933    0.0002338   
7.00272     0.902693    0.0002564   
7.0731      1.00634     0.0002572   
7.14419     1.07622     0.0002796   
7.21599     1.56459     0.0002507   
7.28851     1.29882     0.0002595   
7.36176     1.30328     0.0002963   
7.43575     1.21984     0.0002903   
7.51048     1.1285      0.0002763   
7.58596     1.11343     0.0002442   
7.6622      1.19366     0.0002345   
7.73921     1.32515     0.0002639   
7.81699     1.44659     0.0002738   
7.89555     1.33535     0.0002989   
7.9749      0.902984    0.0002739   
8.05505     0.838919    0.0003116   
8.13601     1.07667     0.0002977   
8.21778     1.29994     0.0003052   
8.30037     1.3292      0.000291    
8.38379     1.24362     0.0002797   
8.46805     1.1633      0.000288    
8.55316     1.10143     0.0002854   
8.63912     1.19673     0.0002921   
8.72594     1.38149     0.000288    
8.81364     1.32857     0.0003084   
8.90222     1.11729     0.0003333   
8.99169     1.17109     0.0003384   
9.08206     1.26446     0.0003333   
9.17333     1.10278     0.000332    
9.26553     1.06618     0.000343    
9.35865     1.15282     0.0003296   
9.45271     1.17004     0.0003238   
9.54771     1.18296     0.0003207   
9.64366     1.1904      0.0003253   
9.74059     1.2591      0.0003243   
9.83848     1.2786      0.0003221   
9.93736     1.26729     0.0003344   
10.0372     1.33057     0.0003232   
10.1381     1.3865      0.0003435   
10.24       1.39992     0.0003603   
10.3429     1.36042     0.0003567   
10.4469     1.26898     0.0003462   
10.5519     1.22736     0.0003496   
10.6579     1.187       0.0003395   
10.765      1.19932     0.0003648   
10.8732     1.29383     0.0003654   
10.9825     1.46113     0.000346    
11.0929     1.62551     0.0003303   
11.2044     1.66243     0.0003369   
11.317      1.64108     0.0003378   
11.4307     1.61442     0.0003466   
11.5456     1.72347     0.0003465   
11.6616     1.72664     0.0003556   
11.7788     1.69885     0.0003397   
11.8972     1.68196     0.0003589   
12.0168     1.62276     0.0003693   
12.1375     1.51473     0.000367    
12.2595     1.47188     0.0003699   
12.3827     1.50316     0.0003638   
12.5072     1.53282     0.0003618   
12.6329     1.52735     0.0003629   
12.7599     1.55983     0.0003849   
12.8881     1.65689     0.0003751   
13.0176     1.56895     0.0003775   
13.1484     1.56729     0.0003771   
13.2806     1.55057     0.0003974   
13.4141     1.56869     0.0003861   
13.5489     1.5737      0.0003825   
13.6851     1.62099     0.0003859   
13.8226     1.62913     0.0003895   
13.9615     1.57642     0.0003962   
14.1018     1.58881     0.0004008   
14.2436     1.58445     0.0004011   
14.3867     1.62109     0.0004027   
14.5313     1.65836     0.000412    
14.6773     1.67365     0.0004102   
14.8249     1.6985      0.0004075   
14.9738     1.72211     0.000408    
15.1243     1.70189     0.0004164   
15.2763     1.6049      0.0004092   
15.4299     1.5773      0.0004151   
15.5849     1.60054     0.0004261   
15.7416     1.6135      0.0004223   
15.8998     1.57893     0.0004285   
16.0596     1.55174     0.0004284   
16.221      1.56643     0.0004337   
16.384      1.56031     0.0004399   
16.5487     1.54505     0.0004356   
16.715      1.52247     0.0004353   
16.883      1.54077     0.0004326   
17.0527     1.60584     0.0004332   
17.224      1.66829     0.0004327   
17.3971     1.63892     0.0004364   
17.572      1.63011     0.0004361   
17.7486     1.62722     0.0004411   
17.927      1.61036     0.0004378   
18.1071     1.56817     0.000443    
18.2891     1.57705     0.0004392   
18.4729     1.55751     0.0004358   
18.6586     1.61357     0.0004373   
18.8461     1.67727     0.0004338   
19.0355     1.67305     0.0004301   
19.2268     1.68932     0.0004308   
19.4201     1.62857     0.0004244   
19.6152     1.64804     0.0004275   
19.8124     1.62333     0.0004248   
20.0115     1.64018     0.0004217   
20.2126     1.67333     0.000417    
20.4158     1.69032     0.0004239   
20.621      1.68325     0.0004203   
20.8282     1.66912     0.0004146   
21.0375     1.69901     0.0004207   
21.249      1.67736     0.000412    
21.4625     1.65837     0.0004097   
21.6782     1.66931     0.0004117   
21.8961     1.65885     0.0004052   
22.1162     1.61269     0.0004033   
22.3384     1.64331     0.0004014   
22.5629     1.64557     0.0003995   
22.7897     1.64346     0.0003935   
23.0187     1.64446     0.0003881   
23.2501     1.63545     0.0003881   
23.4838     1.6225      0.0003856   
23.7198     1.6492      0.0003824   
23.9582     1.57576     0.000373    
24.1989     1.60068     0.0003711   
24.4422     1.63256     0.0003736   
24.6878     1.62196     0.0003674   
24.9359     1.61698     0.0003689   
25.1865     1.60841     0.0003641   
25.4397     1.61759     0.0003617   
25.6953     1.60793     0.0003602   
25.9536     1.60911     0.0003533   
26.2144     1.6138      0.000354    
26.4779     1.59589     0.000354    
26.744      1.61187     0.0003512   
27.0128     1.57348     0.0003555   
27.2843     1.5821      0.000348    
27.5585     1.60469     0.0003464   
27.8354     1.56241     0.0003467   
28.1152     1.56743     0.0003478   
28.3978     1.55471     0.0003461   
28.6832     1.55635     0.0003409   
28.9714     1.55574     0.0003458   
29.2626     1.55918     0.0003469   
29.5567     1.5553      0.0003458   
29.8538     1.55216     0.000348    
30.1538     1.56703     0.0003516   
30.4569     1.52608     0.0003429   
30.7629     1.56335     0.0003466   
31.0721     1.54082     0.0003475   
31.3844     1.55358     0.0003461   
31.6998     1.53774     0.0003517   
32.0184     1.52198     0.0003464   
32.3402     1.52258     0.0003487   
32.6652     1.53404     0.000347    
32.9935     1.5233      0.0003491   
33.3251     1.52171     0.0003446   
33.66       1.51675     0.0003463   
33.9983     1.49505     0.0003461   
34.34       1.4845      0.0003487   
34.6852     1.47176     0.0003465   
35.0337     1.48613     0.0003499   
35.3858     1.4805      0.000349    
35.7415     1.44662     0.00035     
36.1007     1.45224     0.0003494   
36.4635     1.44592     0.0003496   
