S.R.Salisbury et al, Jour: Nuclear Physics, Vol.64, p.343 (1965)
O-18 n,tot (S.R. Salisbury et al (1965))
MeV         Error (MeV)  Barns
2.45        0.06         4.41 
2.475       0.06         4.4  
2.5         0.06         4.31 
2.51        0.06         3.61 
2.525       0.06         3.59 
2.535       0.06         3.54 
2.55        0.06         3.53 
2.56        0.06         3.75 
2.575       0.06         3.88 
2.585       0.06         3.6  
2.6         0.06         3.76 
2.61        0.06         2.96 
2.625       0.06         3.12 
2.65        0.06         2.84 
2.675       0.06         2.87 
2.7         0.06         2.91 
2.725       0.06         2.28 
2.75        0.06         2.71 
2.775       0.06         2.45 
2.8         0.06         2.31 
2.825       0.06         2.37 
2.85        0.06         2.07 
2.875       0.06         2.09 
2.913       0.06         2.62 
2.963       0.06         2.85 
3.013       0.06         2.95 
3.063       0.06         2.72 
3.113       0.06         2.2  
3.163       0.06         2.1  
3.213       0.06         2.   
3.263       0.06         1.95 
3.313       0.06         1.86 
3.363       0.06         2.36 
3.413       0.06         1.77 
3.463       0.06         2.25 
3.513       0.06         2.07 
3.563       0.06         2.2  
3.613       0.06         2.2  
3.663       0.06         2.06 
3.713       0.06         2.08 
3.763       0.06         2.07 
3.813       0.06         2.14 
3.863       0.06         1.88 
3.913       0.06         1.5  
3.963       0.06         1.49 
4.013       0.05         1.33 
4.063       0.05         1.72 
4.113       0.05         1.59 
4.163       0.05         1.6  
4.213       0.05         1.6  
4.263       0.05         1.63 
4.313       0.05         1.69 
4.363       0.05         1.66 
4.413       0.05         1.74 
4.463       0.05         1.74 
4.513       0.05         1.8  
4.563       0.05         1.76 
4.613       0.05         1.66 
4.663       0.05         1.64 
4.713       0.05         1.5  
4.763       0.05         1.55 
4.813       0.05         1.57 
4.863       0.05         1.79 
4.913       0.05         1.84 
4.963       0.05         1.83 
5.013       0.05         1.71 
5.063       0.05         1.75 
5.113       0.05         1.79 
5.163       0.05         1.59 
5.213       0.05         1.56 
5.263       0.05         1.61 
5.313       0.05         1.55 
5.363       0.05         1.46 
5.415       0.05         1.44 
5.463       0.05         1.42 
5.513       0.05         1.51 
5.563       0.05         1.29 
5.613       0.05         1.12 
5.663       0.05         1.24 
5.713       0.05         1.28 
5.763       0.05         1.05 
5.813       0.05         1.14 
5.863       0.05         1.37 
5.913       0.05         1.31 
5.963       0.05         1.43 
6.013       0.05         1.52 
6.063       0.05         1.55 
6.113       0.05         1.71 
6.163       0.05         1.91 
6.213       0.05         1.77 
6.263       0.05         1.91 
6.313       0.05         1.53 
6.363       0.05         1.36 
6.413       0.05         1.23 
6.425       0.05         1.366
6.525       0.06         1.467
6.625       0.06         1.772
6.688       0.06         1.572
6.738       0.06         1.733
6.788       0.06         1.695
6.838       0.06         1.234
6.888       0.06         1.43 
6.975       0.06         1.311
7.075       0.06         1.502
7.175       0.06         1.353
7.275       0.06         1.462
7.375       0.06         1.294
7.475       0.06         1.164
7.538       0.03         1.13 
7.588       0.03         1.094
7.638       0.03         1.211
7.688       0.03         1.289
7.738       0.03         1.393
7.788       0.03         1.032
7.838       0.03         1.546
7.888       0.03         1.334
7.938       0.03         1.654
7.988       0.03         1.479
8.038       0.03         1.638
8.088       0.03         1.217
8.138       0.03         1.333
8.188       0.03         1.439
8.238       0.03         1.067
8.288       0.03         1.065
8.338       0.03         1.52 
8.388       0.03         1.743
8.438       0.03         1.443
8.488       0.03         1.846
10.7        0.1          1.66 
11.4        0.1          1.37 
12.4        0.1          1.39 
13.4        0.2          1.36 
14.46       0.2          1.18 
15.45       0.2          1.3  
16.4        0.3          1.55 
17.44       0.3          1.57 
18.44       0.3          1.57 
19.         0.3          1.49 
