Literature data from T.W. Phillips et al (1980) and W.P. Abfalterer et al (2001) (above 9.16 MeV)
MeV      Barns       Error (Barns)      
1.383    2.71        0.011         
1.442    2.696       0.013         
1.504    2.673       0.011         
1.571    2.655       0.011         
1.642    2.637       0.011         
1.717    2.64        0.012         
1.8      2.584       0.011         
1.887    2.557       0.011         
1.981    2.537       0.01          
2.082    2.507       0.012         
2.191    2.474       0.011         
2.308    2.413       0.01          
2.436    2.36        0.011         
2.575    2.322       0.011         
2.725    2.241       0.011         
2.889    2.209       0.012         
3.069    2.118       0.01          
3.266    2.081       0.012         
3.482    2.004       0.013         
3.721    1.918       0.013         
3.986    1.832       0.011         
4.232    1.774       0.014         
4.392    1.724       0.015         
4.558    1.685       0.014         
4.733    1.681       0.013         
4.919    1.649       0.012         
5.115    1.634       0.012         
5.324    1.588       0.012         
5.546    1.539       0.011         
5.781    1.505       0.011         
6.032    1.448       0.011         
6.301    1.418       0.011         
6.587    1.39        0.01          
6.894    1.335       0.01          
7.222    1.306       0.011         
7.575    1.258       0.013         
7.954    1.24        0.014         
8.363    1.173       0.014         
8.804    1.133       0.014         
9.16     1.109       0.00355 
9.53     1.07        0.00346 
9.92     1.045       0.00341 
10.33    1.019       0.00334 
10.75    0.9877      0.00359 
11.19    0.9579      0.00411 
11.64    0.9286      0.00406 
12.12    0.9008      0.00405 
12.61    0.8715      0.00381 
13.13    0.8454      0.00393 
13.66    0.8205      0.00384 
14.22    0.7987      0.00369 
14.8     0.7672      0.00394 
15.41    0.7502      0.00397 
16.04    0.7243      0.00399 
16.69    0.7008      0.00371 
17.37    0.6736      0.00364 
18.08    0.6532      0.00358 
18.82    0.6311      0.00358 
19.59    0.6088      0.00356 
20.39    0.5874      0.00313 
21.22    0.5663      0.00296 
22.08    0.5422      0.00285 
22.99    0.5261      0.0028  
23.92    0.5059      0.00275 
24.9     0.4878      0.0027  
25.92    0.4656      0.00261 
26.97    0.4491      0.00254 
28.07    0.4306      0.00248 
29.22    0.4157      0.00241 
30.41    0.3963      0.000925
31.65    0.3789      0.000889
32.95    0.3632      0.000853
34.29    0.3491      0.00082 
35.69    0.3338      0.000789
37.15    0.3185      0.000759
38.66    0.3053      0.00073 
40.24    0.2924      0.000703
41.88    0.2786      0.000677
43.59    0.2658      0.000652
45.37    0.2547      0.00063 
47.23    0.2434      0.000608
49.15    0.2317      0.000588
51.16    0.2214      0.00057 
53.25    0.2115      0.000553
55.42    0.2014      0.000537
57.68    0.1924      0.000522
60.04    0.184       0.000509
62.49    0.1755      0.000496
65.04    0.1683      0.000483
67.69    0.1599      0.000472
70.46    0.1528      0.000462
73.33    0.146       0.000452
76.33    0.1396      0.000443
79.44    0.1335      0.000435
82.68    0.1282      0.000427
86.06    0.1226      0.00042 
89.57    0.1173      0.000413
93.23    0.1128      0.000406
97.03    0.1082      0.000401
101.     0.1041      0.000395
105.1    0.1003      0.00039 
109.4    0.09666     0.000386
113.9    0.09356     0.000382
118.5    0.09018     0.000378
123.4    0.087       0.000375
128.4    0.08484     0.000372
133.6    0.08216     0.000369
139.1    0.07958     0.000367
144.8    0.07755     0.000366
150.7    0.07517     0.000364
156.8    0.07358     0.000363
163.2    0.07202     0.000363
169.9    0.07059     0.000362
176.8    0.06903     0.000363
184.     0.0675      0.000363
191.5    0.06609     0.000364
199.4    0.06507     0.000365
207.5    0.06432     0.000366
216.     0.06339     0.000368
224.8    0.06276     0.00037 
234.     0.06202     0.000372
243.5    0.06104     0.000375
253.5    0.06072     0.000378
263.8    0.06001     0.000381
274.6    0.05926     0.000384
285.8    0.05936     0.000387
297.4    0.05886     0.00039 
309.6    0.05875     0.000393
322.2    0.05873     0.000397
335.4    0.05858     0.000399
349.     0.05874     0.000401
363.3    0.05896     0.000402
378.1    0.05877     0.000403
393.6    0.05919     0.000403
409.6    0.06002     0.000403
426.3    0.06049     0.000404
443.7    0.06111     0.000407
461.9    0.06228     0.000413
480.7    0.06332     0.000426
500.3    0.06458     0.000447
