Literature data from J.M Clement et al (1972) (to 9.02 MeV) and W.P. Abfalterer (2001) (above 9.02 MeV)
Hydrogen(n,tot)
MeV          Barns       Error (Barns)
0.50110      6.5830      0.239620
0.50310      5.9410      0.160100
0.50512      6.1493      0.155160
0.50745      6.0562      0.158130
0.50944      6.3132      0.173210
0.51113      6.2621      0.173380
0.51330      6.0864      0.137350
0.51548      6.0165      0.147280
0.51767      6.1825      0.134530
0.51988      6.0808      0.157940
0.52178      6.1677      0.168270
0.52402      6.1143      0.163200
0.52659      6.3258      0.189020
0.52853      6.0381      0.265410
0.53070      5.9163      0.162560
0.53277      5.7969      0.158290
0.53508      5.9945      0.125860
0.53741      5.9816      0.146720
0.53943      6.2592      0.147170
0.54179      6.1248      0.118600
0.54417      6.1627      0.135980
0.54622      5.9977      0.131910
0.54863      6.0952      0.109530
0.55105      6.0587      0.125830
0.55315      5.8520      0.121430
0.55560      6.0415      0.103320
0.55807      5.8795      0.121550
0.56056      5.6743      0.106740
0.56306      5.8939      0.127410
0.56522      5.9887      0.125510
0.56776      5.8847      0.108360
0.57031      6.0272      0.132030
0.57251      5.6934      0.121070
0.57510      5.6920      0.100280
0.57770      5.6467      0.112450
0.57994      5.7110      0.105030
0.58258      5.7270      0.083949
0.58524      5.7434      0.097915
0.58791      5.6804      0.092112
0.59061      5.5691      0.101960
0.59293      5.7061      0.094477
0.59566      5.5313      0.075806
0.59841      5.6085      0.096062
0.60078      5.5572      0.088858
0.60356      5.5465      0.070862
0.60636      5.5606      0.077506
0.60878      5.4800      0.077076
0.61162      5.6548      0.068530
0.61448      5.4459      0.086777
0.61736      5.4547      0.074848
0.62026      5.5520      0.085037
0.62276      5.4732      0.084870
0.62570      5.5105      0.071658
0.62865      5.4424      0.081234
0.63121      5.5157      0.083443
0.63420      5.5863      0.072831
0.63721      5.4002      0.084078
0.63980      5.5298      0.079142
0.64285      5.5524      0.069461
0.64592      5.3549      0.084517
0.64902      5.2575      0.075869
0.65213      5.3404      0.090222
0.65482      5.3855      0.084630
0.65798      5.2595      0.068706
0.66116      5.4039      0.072020
0.66390      5.2431      0.071620
0.66713      5.3414      0.060687
0.67037      5.3900      0.071934
0.67318      5.3128      0.068533
0.67647      5.2684      0.058055
0.67978      5.2320      0.065799
0.68312      5.2807      0.055951
0.68649      5.3341      0.064185
0.68939      5.2306      0.062729
0.69280      5.1443      0.053414
0.69624      5.0836      0.063261
0.69921      5.1694      0.060927
0.70269      5.1736      0.051960
0.70620      5.2211      0.063983
0.70974      5.0980      0.052200
0.71330      5.0755      0.057539
0.71638      5.0978      0.058577
0.71999      5.1487      0.053459
0.72363      5.0219      0.061344
0.72678      5.0045      0.059224
0.73047      5.0650      0.049302
0.73419      4.9641      0.054191
0.73740      4.9117      0.054032
0.74118      4.9698      0.045266
0.74498      4.9547      0.052661
0.74882      4.9707      0.046114
0.75268      5.0509      0.053238
0.75601      4.9111      0.056196
0.75994      4.8668      0.047637
0.76390      4.9733      0.053335
0.76732      4.8831      0.054347
0.77134      4.9902      0.043714
0.77539      4.9484      0.053004
0.77888      4.7336      0.054054
0.78300      4.8599      0.048970
0.78714      4.9589      0.062802
0.79132      4.7909      0.050930
0.79552      4.8957      0.054244
0.79916      4.8765      0.052273
0.80343      4.8171      0.043610
0.80774      4.7865      0.048637
0.81146      4.7950      0.047626
0.81583      4.7030      0.042802
0.82024      4.7009      0.048208
0.82404      4.7251      0.047167
0.82852      4.7139      0.040944
0.83303      4.5968      0.044893
0.83692      4.6753      0.044313
0.84146      4.7088      0.037701
0.84603      4.6401      0.043462
0.85065      4.7163      0.040015
0.85530      4.6033      0.044045
0.85931      4.6514      0.044486
0.86403      4.5839      0.036998
0.86879      4.6321      0.040558
0.87359      4.6557      0.035370
0.87843      4.5476      0.040691
0.88261      4.5142      0.038493
0.88752      4.6147      0.033340
0.89248      4.5327      0.036457
0.89748      4.4767      0.031319
0.90252      4.4721      0.036019
0.90687      4.4856      0.035119
0.91199      4.4751      0.030113
0.91715      4.5456      0.034209
0.92161      4.4558      0.035236
0.92686      4.4856      0.030407
0.93216      4.4318      0.036257
0.93751      4.4051      0.028833
0.94291      4.4270      0.033880
0.94757      4.3699      0.035623
0.95306      4.3559      0.029993
0.95859      4.2417      0.033706
0.96337      4.3875      0.034556
0.96899      4.3722      0.030549
0.97466      4.2904      0.035380
0.98039      4.2584      0.030909
0.98616      4.3320      0.035703
0.99115      4.2877      0.035475
0.99702      4.2503      0.030402
1.00290      4.2915      0.036166
1.00890      4.2180      0.032078
1.01490      4.2293      0.036918
1.02010      4.2293      0.036640
1.02620      4.2318      0.031116
1.03240      4.1268      0.034329
1.03780      4.1794      0.033858
1.04400      4.2357      0.030518
1.05040      4.1026      0.033240
1.05680      4.1555      0.027909
1.06320      4.1480      0.031126
1.06880      4.1016      0.030270
1.07540      4.0684      0.024991
1.08200      4.0138      0.028349
1.08770      4.0344      0.029255
1.09440      4.0659      0.026226
1.10120      4.0605      0.029598
1.10810      4.0103      0.026367
1.11500      4.0507      0.032989
1.12100      4.0541      0.032696
1.12810      4.0105      0.026667
1.13520      3.9608      0.029289
1.14240      3.9339      0.024569
1.14960      3.9927      0.029835
1.15590      3.9152      0.029523
1.16330      3.9337      0.025999
1.17080      3.9162      0.029265
1.17720      3.8701      0.028208
1.18480      3.7979      0.024547
1.19250      3.8395      0.026934
1.20020      3.8690      0.022995
1.20810      3.9071      0.026750
1.21480      3.8372      0.026367
1.22280      3.8253      0.022670
1.23090      3.8356      0.026963
1.23780      3.7771      0.026915
1.24600      3.7366      0.022174
1.25430      3.7657      0.026867
1.26270      3.7368      0.023071
1.27110      3.7529      0.025797
1.27840      3.7670      0.026499
1.28700      3.7040      0.022474
1.29570      3.7136      0.026709
1.30320      3.7122      0.026616
1.31210      3.7338      0.023202
1.32100      3.6723      0.027077
1.33000      3.6980      0.022615
1.33910      3.6523      0.026196
1.34700      3.5856      0.026703
1.35630      3.6139      0.022453
1.36570      3.5700      0.023955
1.37520      3.5790      0.021424
1.38480      3.5767      0.025615
1.39310      3.5904      0.025836
1.40290      3.4932      0.021996
1.41270      3.5375      0.024486
1.42130      3.4948      0.024169
1.43140      3.5040      0.021464
1.44150      3.4716      0.025074
1.45180      3.4899      0.021057
1.46220      3.5204      0.023720
1.47120      3.4824      0.023811
1.48190      3.4183      0.019948
1.49260      3.3927      0.022579
1.50190      3.3936      0.022439
1.51290      3.4284      0.019702
1.52400      3.3696      0.023161
1.53520      3.3845      0.020686
1.54660      3.3510      0.023480
1.55640      3.3555      0.022734
1.56800      3.3356      0.019509
1.57970      3.3688      0.022384
1.58980      3.3288      0.023159
1.60180      3.3600      0.020800
1.61390      3.2603      0.023153
1.62610      3.2980      0.019320
1.63850      3.2674      0.021788
1.64920      3.3365      0.023062
1.66180      3.2254      0.019982
1.67460      3.2102      0.022679
1.68570      3.2127      0.022681
1.69880      3.1770      0.020071
1.71200      3.2168      0.023213
1.72540      3.1644      0.019896
1.73900      3.1593      0.023956
1.75080      3.0668      0.024418
1.76470      3.1160      0.019978
1.77880      3.1452      0.022969
1.79100      3.0951      0.022751
1.80540      3.0607      0.019209
1.82000      3.0730      0.021516
1.83260      3.0591      0.022086
1.84750      3.0179      0.018662
1.86260      3.0229      0.021877
1.87570      3.0164      0.021541
1.89110      3.0357      0.019159
1.90680      2.9739      0.022990
1.92030      2.9151      0.022889
1.93630      2.9393      0.019844
1.95250      2.9219      0.022658
1.96650      2.9228      0.021613
1.98310      2.9473      0.018536
2.00000      2.8570      0.014075
2.01630      2.8974      0.013376
2.03260      2.8778      0.014058
2.04820      2.8768      0.014059
2.06600      2.8794      0.012796
2.08400      2.8174      0.014878
2.10020      2.8308      0.013931
2.11760      2.8002      0.012935
2.13530      2.8265      0.013662
2.15320      2.7732      0.013088
2.17220      2.7632      0.013131
2.19070      2.7751      0.013822
2.20930      2.7398      0.013148
2.22800      2.7438      0.013857
2.24600      2.7150      0.013764
2.26640      2.6971      0.012370
2.28710      2.7061      0.013751
2.30580      2.6552      0.013826
2.32580      2.6674      0.012752
2.34610      2.6608      0.013614
2.36550      2.6437      0.013186
2.38760      2.6245      0.011981
2.41010      2.6206      0.013866
2.43030      2.5806      0.013766
2.45200      2.5683      0.012813
2.47410      2.5688      0.014121
2.49510      2.5639      0.014824
2.51910      2.5492      0.013377
2.54350      2.5364      0.014695
2.56540      2.5105      0.015125
2.58890      2.4622      0.013959
2.61290      2.5080      0.014394
2.63730      2.4864      0.013671
2.66300      2.4676      0.013778
2.68820      2.4540      0.014345
2.71350      2.4432      0.013733
2.73910      2.4095      0.014384
2.76380      2.4248      0.014675
2.79020      2.4029      0.014194
2.81840      2.3730      0.013691
2.84570      2.3640      0.014517
2.87300      2.3449      0.014027
2.90090      2.3642      0.015182
2.92930      2.3034      0.014565
2.95770      2.3050      0.015460
2.98720      2.2869      0.013902
3.01840      2.2556      0.013796
3.04850      2.2640      0.014318
3.07720      2.2803      0.014663
3.10800      2.2293      0.013939
3.13940      2.2451      0.014989
3.17140      2.1988      0.014068
3.20550      2.1975      0.014643
3.23870      2.1641      0.015545
3.27180      2.1770      0.014874
3.30580      2.1448      0.015595
3.34030      2.1378      0.014804
3.37500      2.1408      0.015868
3.41090      2.1072      0.014655
3.44910      2.0782      0.014748
3.48600      2.0789      0.015964
3.52130      2.0537      0.015871
3.55920      2.0440      0.015216
3.59770      2.0505      0.016142
3.63730      2.0108      0.014805
3.67920      2.0345      0.014667
3.72000      1.9768      0.015662
3.75890      1.9677      0.016003
3.80070      1.9538      0.014731
3.84330      1.9543      0.015125
3.88930      1.8990      0.013522
3.93600      1.8954      0.015111
3.97840      1.8990      0.015026
4.02400      1.8657      0.014127
4.07030      1.8859      0.014663
4.11490      1.8780      0.014588
4.16310      1.8568      0.014131
