Literature data from R.W.Finlay et al (1993) (>5.29 MeV) and Perey et al (1972) (<5.29 MeV)
NatO(n,tot) 
MeV          Barns       Error (Barns)
1.00029      7.744       0.18        
1.00146      8.101       0.201       
1.00263      7.799       0.187       
1.00381      7.983       0.192       
1.00498      7.654       0.173       
1.00616      7.961       0.187       
1.00734      7.964       0.186       
1.00853      7.582       0.163       
1.00971      7.926       0.181       
1.0109       7.52        0.158       
1.01209      7.587       0.16        
1.01328      7.615       0.161       
1.01447      7.332       0.151       
1.01567      7.399       0.155       
1.01687      7.312       0.152       
1.01807      7.204       0.144       
1.01927      7.118       0.137       
1.02048      6.972       0.129       
1.02168      6.938       0.124       
1.02289      6.965       0.127       
1.0241       7.006       0.129       
1.02531      6.654       0.115       
1.02653      6.672       0.114       
1.02775      6.665       0.111       
1.02897      6.57        0.106       
1.03019      6.405       0.102       
1.03141      6.363       0.098       
1.03264      6.421       0.1         
1.03387      6.227       0.094       
1.0351       6.269       0.095       
1.03633      6.287       0.095       
1.03756      6.091       0.091       
1.0388       5.84        0.088       
1.04004      5.855       0.096       
1.04128      5.776       0.101       
1.04253      5.698       0.096       
1.04377      5.428       0.08        
1.04502      5.589       0.077       
1.04627      5.5         0.072       
1.04752      5.277       0.068       
1.04878      5.254       0.066       
1.05004      5.267       0.065       
1.05129      5.126       0.063       
1.05256      5.024       0.061       
1.05382      5.038       0.061       
1.05509      4.989       0.059       
1.05636      4.888       0.057       
1.05763      4.854       0.056       
1.0589       4.759       0.056       
1.06017      4.875       0.058       
1.06145      4.811       0.056       
1.06273      4.609       0.051       
1.06401      4.649       0.051       
1.0653       4.505       0.05        
1.06659      4.461       0.048       
1.06788      4.536       0.048       
1.06917      4.371       0.045       
1.07046      4.327       0.045       
1.07176      4.346       0.045       
1.07306      4.326       0.044       
1.07436      4.247       0.044       
1.07566      4.251       0.044       
1.07697      4.206       0.042       
1.07828      4.098       0.041       
1.07959      4.107       0.041       
1.0809       4.097       0.041       
1.08221      4.049       0.041       
1.08353      3.976       0.039       
1.08485      3.889       0.039       
1.08617      3.875       0.039       
1.0875       3.878       0.039       
1.08883      3.816       0.038       
1.09016      3.823       0.038       
1.09149      3.773       0.038       
1.09282      3.735       0.038       
1.09416      3.713       0.038       
1.0955       3.66        0.037       
1.09684      3.611       0.037       
1.09819      3.621       0.037       
1.09954      3.551       0.035       
1.10089      3.507       0.035       
1.10224      3.594       0.035       
1.10359      3.51        0.035       
1.10495      3.462       0.035       
1.10631      3.522       0.035       
1.10767      3.436       0.034       
1.10904      3.435       0.034       
1.1104       3.406       0.034       
1.11177      3.452       0.035       
1.11314      3.321       0.034       
1.11452      3.29        0.034       
1.1159       3.337       0.034       
1.11728      3.281       0.034       
1.11866      3.283       0.034       
1.12004      3.279       0.032       
1.12143      3.236       0.032       
1.12282      3.2         0.032       
1.12421      3.246       0.032       
1.12561      3.221       0.032       
1.12701      3.154       0.03        
1.12841      3.101       0.029       
1.12981      3.108       0.029       
1.13122      3.105       0.029       
1.13263      3.092       0.029       
1.13404      3.067       0.029       
1.13545      3.047       0.029       
1.13687      3.021       0.028       
1.13829      3.055       0.028       
1.13971      3.08        0.028       
1.14113      3.005       0.028       
1.14256      3.013       0.028       
1.14399      3.028       0.028       
1.14542      2.929       0.028       
1.14686      2.979       0.028       
1.14829      2.993       0.028       
1.14973      2.957       0.028       
1.15118      2.963       0.025       
1.15262      2.935       0.025       
1.15407      2.914       0.025       
1.15552      2.897       0.024       
1.15698      2.92        0.024       
1.15843      2.869       0.023       
1.15989      2.875       0.023       
1.16136      2.851       0.024       
1.16282      2.864       0.026       
1.16429      2.867       0.028       
1.16576      2.825       0.028       
1.16723      2.811       0.028       
1.16871      2.82        0.028       
1.17019      2.826       0.028       
1.17167      2.811       0.026       
1.17315      2.777       0.026       
1.17464      2.754       0.026       
1.17613      2.757       0.024       
1.17763      2.764       0.024       
1.17912      2.786       0.024       
1.18062      2.762       0.024       
1.18212      2.701       0.024       
1.18363      2.737       0.024       
1.18513      2.712       0.024       
1.18664      2.737       0.024       
1.18816      2.707       0.024       
1.18967      2.743       0.024       
1.19119      2.684       0.024       
1.19272      2.685       0.024       
1.19424      2.715       0.024       
1.19577      2.637       0.025       
1.1973       2.687       0.026       
1.19883      2.699       0.028       
