F.G.Perey et al, Rept: Oak Ridge National Lab. Reports, No.4823 (1972)
NatO(n,tot)
MeV          Barns       Error (Barns)   
0.18738      1.213       0.973       
0.18747      2.288       0.77        
0.18757      1.997       1.124       
0.18766      2.279       1.088       
0.18776      1.996       1.124       
0.18795      3.149       0.873       
0.18804      2.276       1.088       
0.18823      0.124       1.886       
0.18833      2.518       1.062       
0.18843      2.282       0.843       
0.18852      1.938       0.878       
0.18862      2.15        0.782       
0.18871      0.485       0.878       
0.18881      2.278       1.088       
0.1889       2.28        0.943       
0.1891       0.423       0.795       
0.18919      1.6         0.776       
0.18929      2.904       1.026       
0.18939      4.758       1.615       
0.18948      1.2         1.257       
0.18958      2.274       1.088       
0.18967      3.345       1.218       
0.18977      0.3         0.858       
0.18987      1.831       0.994       
0.18996      1.205       0.973       
0.19006      2.27        1.333       
0.19016      1.549       1.033       
0.19026      2.72        1.042       
0.19035      4.412       1.634       
0.19045      1.998       0.795       
0.19055      3.345       1.218       
0.19064      1.55        1.033       
0.19074      0.301       0.858       
0.19084      1.833       0.994       
0.19103      3.968       1.663       
0.19113      1.938       0.878       
0.19123      0.58        0.994       
0.19133      0.86        1.033       
0.19142      1.447       0.856       
0.19152      2.281       0.843       
0.19162      2.721       1.042       
0.19172      1.994       1.124       
0.19182      2.721       1.042       
0.19191      4.209       1.646       
0.19201      3.349       1.218       
0.19211      4.763       1.615       
0.19221      3.97        1.663       
0.19231      2.12        0.858       
0.19241      1.994       1.124       
0.19251      3.141       1.235       
0.1926       0.766       0.832       
0.1928       1.208       0.973       
0.1929       1.649       1.176       
0.193        1.939       0.878       
0.1932       0.929       0.932       
0.1933       1.766       0.759       
0.1934       2.516       1.062       
0.1935       2.516       1.062       
0.1936       1.994       1.124       
0.1937       2.003       0.795       
0.1938       4.601       1.623       
0.19399      2.074       0.965       
0.19409      1.203       1.257       
0.19419      2.271       1.333       
0.19429      1.068       0.673       
0.19439      2.515       1.062       
0.19449      2.117       0.858       
0.1946       1.703       0.717       
0.1947       2.277       0.943       
0.1948       2.9         1.257       
0.1949       3.691       1.193       
0.195        1.203       1.089       
0.1951       2.07        0.965       
0.1952       1.598       0.776       
0.1953       2.617       1.288       
0.1954       2.9         1.257       
0.1955       0.928       0.932       
0.1956       1.599       0.776       
0.1957       2.514       1.062       
0.1958       1.83        0.994       
0.19591      2.898       1.257       
0.19601      2.146       0.782       
0.19611      1.835       0.811       
0.19631      4.208       1.646       
0.19641      2.775       0.899       
0.19652      2.626       0.911       
0.19662      3.842       1.184       
0.19672      1.648       1.176       
0.19682      1.204       1.089       
0.19692      2.074       0.965       
0.19703      0.586       0.811       
0.19713      0.139       0.943       
0.19723      1.73        0.901       
0.19733      2.28        0.843       
0.19743      3.694       1.193       
0.19754      2.46        0.925       
0.19764      3.214       1.003       
0.19774      1.942       0.62        
0.19785      3.01        0.789       
0.19795      4.212       1.164       
0.19805      2.428       0.831       
0.19815      1.206       0.889       
0.19826      3.474       0.986       
0.19836      2.801       0.802       
0.19846      2.07        0.965       
0.19857      2.07        0.965       
0.19867      2.28        0.843       
0.19877      1.653       0.832       
0.19888      2.071       0.965       
0.19898      2.28        0.943       
0.19909      2.729       0.737       
0.19919      3.528       1.203       
0.19929      2.146       0.782       
0.1994       2.687       0.81        
0.1995       3.214       1.003       
0.19961      2.803       0.802       
0.19971      2.689       0.81        
0.19981      1.999       0.795       
0.19992      1.836       0.811       
0.20002      2.045       0.733       
0.20013      3.031       0.88        
0.20023      3.475       0.986       
0.20034      3.59        0.979       
0.20044      1.418       0.797       
0.20055      1.655       0.832       
0.20065      1.762       0.759       
0.20076      2.169       0.722       
0.20086      2.8         0.802       
0.20097      4.212       1.164       
0.20107      1.598       0.776       
0.20118      2.28        0.843       
0.20128      2.801       0.802       
0.20139      2.801       0.802       
0.20149      2.279       0.943       
0.2016       2.117       0.858       
0.20171      2.46        0.925       
0.20181      3.588       0.979       
0.20192      1.392       0.748       
0.20202      2.282       0.77        
0.20213      5.042       1.603       
0.20224      2.285       0.77        
0.20234      1.206       0.973       
0.20245      1.837       0.811       
0.20256      2.837       0.677       
0.20266      2.799       0.802       
0.20277      2.583       0.692       
0.20288      2.91        0.726       
0.20298      2.379       0.661       
0.20309      2.584       0.692       
0.2032       3.25        0.866       
0.2033       3.499       0.762       
0.20341      2.905       0.795       
0.20352      1.758       0.759       
0.20363      3.348       0.994       
0.20373      2.146       0.782       
0.20384      2.491       0.698       
0.20395      5.282       1.594       
0.20406      2.08        0.683       
0.20416      2.516       1.062       
0.20427      3.352       0.994       
0.20438      4.102       1.169       
0.20449      3.077       0.717       
0.2047       0.904       0.692       
0.20481      4.214       1.164       
0.20492      2.407       0.759       
0.20503      2.149       0.782       
0.20514      3.528       1.203       
0.20525      2.801       0.802       
0.20535      3.191       0.778       
0.20546      2.378       0.661       
0.20557      1.897       0.657       
0.20568      2.491       0.698       
0.20579      4.602       1.148       
0.2059       2.079       0.683       
0.20601      2.391       0.705       
0.20612      3.01        0.789       
0.20623      3.446       0.856       
0.20634      2.186       0.675       
0.20645      2.462       0.925       
0.20656      2.406       0.759       
