#ZVView-data-copy:  10-Nov-2015 14:42:01
#=======================================
#
#name:   6-C-0(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  2444
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          0.75        3.032      0.15596  # 2001,W.P.Abfalterer+     ## 13794002
       0.75102        2.681      0.13132  # 2001,W.P.Abfalterer+     ## 13794002
       0.75204       2.7842      0.13257  # 2001,W.P.Abfalterer+     ## 13794002
       0.75305       2.8616      0.13082  # 2001,W.P.Abfalterer+     ## 13794002
       0.75408        2.856      0.12706  # 2001,W.P.Abfalterer+     ## 13794002
        0.7551       2.9733      0.14182  # 2001,W.P.Abfalterer+     ## 13794002
       0.75613        2.943      0.13104  # 2001,W.P.Abfalterer+     ## 13794002
       0.75716       2.9503      0.13577  # 2001,W.P.Abfalterer+     ## 13794002
       0.75819       3.1201      0.14144  # 2001,W.P.Abfalterer+     ## 13794002
       0.75922       3.1306      0.14187  # 2001,W.P.Abfalterer+     ## 13794002
       0.76026       2.9564      0.13056  # 2001,W.P.Abfalterer+     ## 13794002
       0.76129       3.0068      0.13295  # 2001,W.P.Abfalterer+     ## 13794002
       0.76233       2.9694      0.13495  # 2001,W.P.Abfalterer+     ## 13794002
       0.76337       2.8381      0.12708  # 2001,W.P.Abfalterer+     ## 13794002
       0.76442       2.9138      0.12734  # 2001,W.P.Abfalterer+     ## 13794002
       0.76546       2.8909      0.12508  # 2001,W.P.Abfalterer+     ## 13794002
       0.76651       2.9843      0.12732  # 2001,W.P.Abfalterer+     ## 13794002
       0.76756       2.8123      0.12012  # 2001,W.P.Abfalterer+     ## 13794002
       0.76861       3.0088      0.12274  # 2001,W.P.Abfalterer+     ## 13794002
       0.76967       2.7145      0.11398  # 2001,W.P.Abfalterer+     ## 13794002
       0.77072       2.9396      0.12353  # 2001,W.P.Abfalterer+     ## 13794002
       0.77178       3.0321      0.12202  # 2001,W.P.Abfalterer+     ## 13794002
       0.77284       2.9032      0.12162  # 2001,W.P.Abfalterer+     ## 13794002
       0.77391       2.9258      0.11836  # 2001,W.P.Abfalterer+     ## 13794002
       0.77497       2.9651       0.1157  # 2001,W.P.Abfalterer+     ## 13794002
       0.77604       3.0211      0.11916  # 2001,W.P.Abfalterer+     ## 13794002
       0.77711       2.8876       0.1156  # 2001,W.P.Abfalterer+     ## 13794002
       0.77818       2.7578      0.10283  # 2001,W.P.Abfalterer+     ## 13794002
       0.77925       2.8919      0.10958  # 2001,W.P.Abfalterer+     ## 13794002
       0.78033       2.8966      0.11463  # 2001,W.P.Abfalterer+     ## 13794002
       0.78141       3.0007      0.11573  # 2001,W.P.Abfalterer+     ## 13794002
       0.78249       2.7311      0.10314  # 2001,W.P.Abfalterer+     ## 13794002
       0.78357       2.9491      0.10922  # 2001,W.P.Abfalterer+     ## 13794002
       0.78466       2.8573      0.10356  # 2001,W.P.Abfalterer+     ## 13794002
       0.78575       2.8266      0.10681  # 2001,W.P.Abfalterer+     ## 13794002
       0.78684       2.8851      0.10899  # 2001,W.P.Abfalterer+     ## 13794002
       0.78793       2.8623       0.1067  # 2001,W.P.Abfalterer+     ## 13794002
       0.78902       2.9482      0.11064  # 2001,W.P.Abfalterer+     ## 13794002
       0.79012       3.0026      0.11026  # 2001,W.P.Abfalterer+     ## 13794002
