DOM fit from Bob (received 25 April 2016)
Sn112 (n,tot) from DOM
MeV  Barns         Error (Barns)
2    6.05042       0
4    4.60382       0
6    4.35272       0
8    4.48355       0
10    4.71722      0
12    4.8101       0
14    4.74382      0
16    4.56657      0
18    4.337        0
20    4.10315      0
22    3.88767      0
24    3.69656      0
26    3.53642      0
28    3.41562      0
30    3.33473      0
32    3.28894      0
34    3.27079      0
36    3.27442      0
38    3.29513      0
40    3.32935      0
42    3.37192      0
44    3.41845      0
46    3.46729      0
48    3.51489      0
50    3.56039      0
52    3.60175      0
54    3.63862      0
56    3.66975      0
58    3.6948       0
60    3.71353      0
62    3.72634      0
64    3.73296      0
66    3.73298      0
68    3.72766      0
70    3.71689      0
72    3.70074      0
74    3.68016      0
76    3.65503      0
78    3.62614      0
80    3.59352      0
82    3.55801      0
84    3.51976      0
86    3.47881      0
88    3.43603      0
90    3.39124      0
92    3.34563      0
94    3.30064      0
96    3.2548       0
98    3.20763      0
100    3.16091     0
102    3.11239     0
104    3.06454     0
106    3.01693     0
108    2.96874     0
110    2.92143     0
112    2.8745      0
114    2.82827     0
116    2.78252     0
118    2.73796     0
120    2.69396     0
122    2.65114     0
124    2.60914     0
126    2.56797     0
128    2.52878     0
130    2.49034     0
132    2.45329     0
134    2.41749     0
136    2.38228     0
138    2.3493      0
140    2.31633     0
142    2.28588     0
144    2.25556     0
146    2.22762     0
148    2.19993     0
150    2.17363     0
152    2.14924     0
154    2.12485     0
156    2.10262     0
158    2.08026     0
160    2.06015     0
162    2.04086     0
164    2.02189     0
166    2.00468     0
168    1.98782     0
170    1.97297     0
172    1.95797     0
174    1.94409     0
176    1.93123     0
178    1.91894     0
180    1.90757     0
182    1.89639     0
184    1.8867      0
186    1.87704     0
188    1.86806     0
190    1.85987     0
192    1.85236     0
194    1.84544     0
196    1.8389      0
198    1.83301     0
200    1.82732     0
