DOM fit from Bob (received 25 April 2016)
Sn124 (n,tot) from DOM
MeV     Barns         Error (Barns
2       6.49976       0
4       5.09329       0
6       4.44147       0
8       4.57731       0
10       4.88794       0
12       5.02439       0
14       4.98919       0
16       4.8381       0
18       4.62494       0
20       4.38477       0
22       4.13949       0
24       3.91385       0
26       3.72853       0
28       3.58917       0
30       3.49158       0
32       3.43008       0
34       3.40104       0
36       3.3983       0
38       3.41843       0
40       3.45429       0
42       3.50067       0
44       3.55344       0
46       3.60935       0
48       3.66478       0
50       3.71867       0
52       3.76789       0
54       3.81327       0
56       3.85199       0
58       3.88452       0
60       3.90997       0
62       3.92848       0
64       3.94013       0
66       3.94504       0
68       3.94342       0
70       3.93572       0
72       3.92187       0
74       3.90308       0
76       3.87932       0
78       3.85108       0
80       3.81873       0
82       3.78277       0
84       3.74358       0
86       3.70169       0
88       3.65727       0
90       3.61099       0
92       3.56278       0
94       3.51345       0
96       3.46535       0
98       3.416      0
100       3.36617       0
102       3.31571       0
104       3.26483       0
106       3.21415       0
108       3.16291       0
110       3.11307       0
112       3.06281       0
114       3.01379       0
116       2.96498       0
118       2.91731       0
120       2.87053       0
122       2.82501       0
124       2.77962       0
126       2.73607       0
128       2.69398       0
130       2.65319       0
132       2.61323       0
134       2.57508       0
136       2.53724       0
138       2.50155       0
140       2.46682       0
142       2.43404       0
144       2.40146       0
146       2.3714       0
148       2.3418       0
150       2.31429       0
152       2.28725       0
154       2.26114       0
156       2.23757       0
158       2.21398       0
160       2.19176       0
162       2.1714       0
164       2.15141       0
166       2.13228       0
168       2.11493       0
170       2.0981       0
172       2.08251       0
174       2.06752       0
176       2.05341       0
178       2.04038       0
180       2.02802       0
182       2.01604       0
184       2.00538       0
186       1.99503       0
188       1.98588       0
190       1.97661       0
192       1.96847       0
194       1.96101       0
196       1.95391       0
198       1.94719       0
200       1.94113       0
