F.J.Vaughn et al (1965) (to 2.466 MeV); S.R.Salisbury et al (1965) (2.5 MeV to 19 MeV)
18O (n,tot)
MeV      barns      barns (error)    
0.145    3.26       0
0.165    3.04       0
0.184    3.26       0
0.204    3.06       0
0.224    3.05       0
0.244    3.16       0
0.264    2.725      0
0.284    3.035      0
0.304    2.343      0
0.324    2.847      0
0.344    2.757      0
0.364    2.937      0
0.384    2.833      0
0.403    2.859      0
0.423    2.726      0
0.443    2.915      0
0.463    2.882      0
0.483    2.861      0
0.503    2.911      0
0.523    3.101      0
0.543    2.939      0
0.563    3.131      0
0.583    3.64       0
0.602    4.177      0
0.622    5.556      0
0.632    6.311      0
0.642    8.035      0
0.653    9.262      0
0.662    10.24      0
0.672    9.223      0
0.682    8.174      0
0.692    6.675      0
0.702    5.245      0
0.721    3.541      0
0.741    2.954      0
0.761    2.605      0
0.781    2.234      0
0.801    2.059      0
0.821    1.788      0
0.841    1.735      0
0.861    1.782      0
0.881    1.836      0
0.901    1.821      0
0.911    1.737      0
0.921    1.749      0
0.931    1.838      0
0.941    1.987      0
0.951    1.909      0
0.961    1.603      0
0.971    2.13       0
0.981    1.719      0
0.991    2.128      0
1.001    1.96       0
1.006    1.899      0
1.016    1.958      0
1.026    2.315      0
1.036    2.094      0
1.046    2.209      0
1.056    2.782      0
1.066    2.718      0
1.076    2.303      0
1.086    2.683      0
1.096    2.343      0
1.106    3.036      0
1.116    3.183      0
1.126    3.309      0
1.136    3.416      0
1.14     3.671      0
1.145    3.832      0
1.15     3.7        0
1.154    4.047      0
1.159    4.245      0
1.164    4.371      0
1.169    4.82       0
1.174    4.903      0
1.179    5.045      0
1.184    5.391      0
1.189    5.441      0
1.194    5.112      0
1.199    5.352      0
1.203    5.122      0
1.209    4.962      0
1.214    4.713      0
1.218    4.275      0
1.232    4.32       0
1.24     4.412      0
1.244    4.2        0
1.248    4.16       0
1.252    4.72       0
1.254    5.67       0
1.255    6.79       0
1.256    7.29       0
1.257    6.87       0
1.258    6.35       0
1.26     4.94       0
1.264    4.455      0
1.272    4.17       0
1.28     4.19       0
1.286    4.324      0
1.296    4.355      0
1.303    4.697      0
1.313    4.797      0
1.323    4.616      0
1.333    4.791      0
1.343    5.261      0
1.353    5.414      0
1.363    5.033      0
1.373    5.124      0
1.383    5.339      0
1.393    5.877      0
1.403    6.118      0
1.413    5.921      0
1.423    6.447      0
1.433    6.696      0
1.443    6.466      0
1.453    7.235      0
1.463    6.882      0
1.473    7.468      0
1.483    7.362      0
1.491    8.077      0
1.501    7.74       0
1.511    8.14       0
1.521    7.682      0
1.531    8.368      0
1.541    8.095      0
1.551    8.631      0
1.561    7.947      0
1.571    8.5        0
1.581    8.252      0
1.591    7.917      0
1.601    8.547      0
1.611    8.05       0
1.621    7.907      0
1.631    8.198      0
1.641    7.325      0
1.651    7.349      0
1.661    7.184      0
1.671    7.182      0
1.681    6.835      0
1.691    6.617      0
1.698    6.035      0
1.708    5.801      0
1.718    5.956      0
1.728    5.38       0
1.738    4.97       0
1.748    4.368      0
1.758    4.384      0
1.768    4.53       0
1.778    4.28       0
1.789    4.32       0
1.797    4.27       0
1.806    4.05       0
1.817    3.87       0
1.826    3.66       0
1.832    3.8        0
1.836    4.8        0
1.839    5.23       0
1.841    5.04       0
1.847    4.07       0
1.851    3.54       0
1.857    3.4        0
1.866    3.21       0
1.868    3.15       0
1.878    3.15       0
