T.W.Phillips et al, Physical Review, Part C, Nuclear Physics, Vol.22, p.384 (1980)
H-2 n,tot (T.W. Phillips et al (1980))
MeV      Barns       Error (Barns) 
1.383    2.71        0.011         
1.442    2.696       0.013         
1.504    2.673       0.011         
1.571    2.655       0.011         
1.642    2.637       0.011         
1.717    2.64        0.012         
1.8      2.584       0.011         
1.887    2.557       0.011         
1.981    2.537       0.01          
2.082    2.507       0.012         
2.191    2.474       0.011         
2.308    2.413       0.01          
2.436    2.36        0.011         
2.575    2.322       0.011         
2.725    2.241       0.011         
2.889    2.209       0.012         
3.069    2.118       0.01          
3.266    2.081       0.012         
3.482    2.004       0.013         
3.721    1.918       0.013         
3.986    1.832       0.011         
4.232    1.774       0.014         
4.392    1.724       0.015         
4.558    1.685       0.014         
4.733    1.681       0.013         
4.919    1.649       0.012         
5.115    1.634       0.012         
5.324    1.588       0.012         
5.546    1.539       0.011         
5.781    1.505       0.011         
6.032    1.448       0.011         
6.301    1.418       0.011         
6.587    1.39        0.01          
6.894    1.335       0.01          
7.222    1.306       0.011         
7.575    1.258       0.013         
7.954    1.24        0.014         
8.363    1.173       0.014         
8.804    1.133       0.014         
9.281    1.127       0.016         
9.798    1.06        0.017         
10.36    1.017       0.018         
10.972   0.994       0.021         
11.641   0.949       0.022         
12.372   0.868       0.024         
13.176   0.885       0.026         
14.054   0.814       0.029         
14.949   0.794       0.031         
16.024   0.728       0.037         
17.219   0.752       0.039         
18.556   0.669       0.045         
20.056   0.589       0.05          
22.216   0.546       0.054         
25.294   0.479       0.063         
29.069   0.415       0.074         
34.715   0.326       0.076         
43.435   0.237       0.088
