Literature data from J.M.Clement et al (1972) (to 9.02 MeV) and W.P. Abfalterer (2001) (above 9.02 MeV)
Hydrogen (n,tot)
MeV          barns       barns (error)   
0.5011       6.583       0.23962     
0.5031       5.941       0.1601      
0.50512      6.1493      0.15516     
0.50745      6.0562      0.15813     
0.50944      6.3132      0.17321     
0.51113      6.2621      0.17338     
0.5133       6.0864      0.13735     
0.51548      6.0165      0.14728     
0.51767      6.1825      0.13453     
0.51988      6.0808      0.15794     
0.52178      6.1677      0.16827     
0.52402      6.1143      0.1632      
0.52659      6.3258      0.18902     
0.52853      6.0381      0.26541     
0.5307       5.9163      0.16256     
0.53277      5.7969      0.15829     
0.53508      5.9945      0.12586     
0.53741      5.9816      0.14672     
0.53943      6.2592      0.14717     
0.54179      6.1248      0.1186      
0.54417      6.1627      0.13598     
0.54622      5.9977      0.13191     
0.54863      6.0952      0.10953     
0.55105      6.0587      0.12583     
0.55315      5.852       0.12143     
0.5556       6.0415      0.10332     
0.55807      5.8795      0.12155     
0.56056      5.6743      0.10674     
0.56306      5.8939      0.12741     
0.56522      5.9887      0.12551     
0.56776      5.8847      0.10836     
0.57031      6.0272      0.13203     
0.57251      5.6934      0.12107     
0.5751       5.692       0.10028     
0.5777       5.6467      0.11245     
0.57994      5.711       0.10503     
0.58258      5.727       0.083949    
0.58524      5.7434      0.097915    
0.58791      5.6804      0.092112    
0.59061      5.5691      0.10196     
0.59293      5.7061      0.094477    
0.59566      5.5313      0.075806    
0.59841      5.6085      0.096062    
0.60078      5.5572      0.088858    
0.60356      5.5465      0.070862    
0.60636      5.5606      0.077506    
0.60878      5.48        0.077076    
0.61162      5.6548      0.06853     
0.61448      5.4459      0.086777    
0.61736      5.4547      0.074848    
0.62026      5.552       0.085037    
0.62276      5.4732      0.08487     
0.6257       5.5105      0.071658    
0.62865      5.4424      0.081234    
0.63121      5.5157      0.083443    
0.6342       5.5863      0.072831    
0.63721      5.4002      0.084078    
0.6398       5.5298      0.079142    
0.64285      5.5524      0.069461    
0.64592      5.3549      0.084517    
0.64902      5.2575      0.075869    
0.65213      5.3404      0.090222    
0.65482      5.3855      0.08463     
0.65798      5.2595      0.068706    
0.66116      5.4039      0.07202     
0.6639       5.2431      0.07162     
0.66713      5.3414      0.060687    
0.67037      5.39        0.071934    
0.67318      5.3128      0.068533    
0.67647      5.2684      0.058055    
0.67978      5.232       0.065799    
0.68312      5.2807      0.055951    
0.68649      5.3341      0.064185    
0.68939      5.2306      0.062729    
0.6928       5.1443      0.053414    
0.69624      5.0836      0.063261    
0.69921      5.1694      0.060927    
0.70269      5.1736      0.05196     
0.7062       5.2211      0.063983    
0.70974      5.098       0.0522      
0.7133       5.0755      0.057539    
0.71638      5.0978      0.058577    
0.71999      5.1487      0.053459    
0.72363      5.0219      0.061344    
0.72678      5.0045      0.059224    
0.73047      5.065       0.049302    
0.73419      4.9641      0.054191    
0.7374       4.9117      0.054032    
0.74118      4.9698      0.045266    
0.74498      4.9547      0.052661    
0.74882      4.9707      0.046114    
0.75268      5.0509      0.053238    
0.75601      4.9111      0.056196    
0.75994      4.8668      0.047637    
0.7639       4.9733      0.053335    
0.76732      4.8831      0.054347    
0.77134      4.9902      0.043714    
0.77539      4.9484      0.053004    
0.77888      4.7336      0.054054    
0.783        4.8599      0.04897     
0.78714      4.9589      0.062802    
0.79132      4.7909      0.05093     
0.79552      4.8957      0.054244    
0.79916      4.8765      0.052273    
0.80343      4.8171      0.04361     
0.80774      4.7865      0.048637    
0.81146      4.795       0.047626    
0.81583      4.703       0.042802    
0.82024      4.7009      0.048208    
0.82404      4.7251      0.047167    
0.82852      4.7139      0.040944    
0.83303      4.5968      0.044893    
0.83692      4.6753      0.044313    
0.84146      4.7088      0.037701    
0.84603      4.6401      0.043462    
0.85065      4.7163      0.040015    
0.8553       4.6033      0.044045    
0.85931      4.6514      0.044486    
0.86403      4.5839      0.036998    
0.86879      4.6321      0.040558    
0.87359      4.6557      0.03537     
0.87843      4.5476      0.040691    
0.88261      4.5142      0.038493    
0.88752      4.6147      0.03334     
0.89248      4.5327      0.036457    
0.89748      4.4767      0.031319    
0.90252      4.4721      0.036019    
0.90687      4.4856      0.035119    
0.91199      4.4751      0.030113    
0.91715      4.5456      0.034209    
0.92161      4.4558      0.035236    
0.92686      4.4856      0.030407    
0.93216      4.4318      0.036257    
0.93751      4.4051      0.028833    
0.94291      4.427       0.03388     
0.94757      4.3699      0.035623    
0.95306      4.3559      0.029993    
0.95859      4.2417      0.033706    
0.96337      4.3875      0.034556    
0.96899      4.3722      0.030549    
0.97466      4.2904      0.03538     
0.98039      4.2584      0.030909    
0.98616      4.332       0.035703    
0.99115      4.2877      0.035475    
0.99702      4.2503      0.030402    
1.0029       4.2915      0.036166    
1.0089       4.218       0.032078    
1.0149       4.2293      0.036918    
1.0201       4.2293      0.03664     
1.0262       4.2318      0.031116    
1.0324       4.1268      0.034329    
1.0378       4.1794      0.033858    
1.044        4.2357      0.030518    
1.0504       4.1026      0.03324     
1.0568       4.1555      0.027909    
1.0632       4.148       0.031126    
1.0688       4.1016      0.03027     
1.0754       4.0684      0.024991    
1.082        4.0138      0.028349    
1.0877       4.0344      0.029255    
1.0944       4.0659      0.026226    
1.1012       4.0605      0.029598    
1.1081       4.0103      0.026367    
1.115        4.0507      0.032989    
1.121        4.0541      0.032696    
1.1281       4.0105      0.026667    
1.1352       3.9608      0.029289    
1.1424       3.9339      0.024569    
1.1496       3.9927      0.029835    
1.1559       3.9152      0.029523    
1.1633       3.9337      0.025999    
1.1708       3.9162      0.029265    
1.1772       3.8701      0.028208    
1.1848       3.7979      0.024547    
1.1925       3.8395      0.026934    
1.2002       3.869       0.022995    
1.2081       3.9071      0.02675     
1.2148       3.8372      0.026367    
1.2228       3.8253      0.02267     
1.2309       3.8356      0.026963    
1.2378       3.7771      0.026915    
1.246        3.7366      0.022174    
1.2543       3.7657      0.026867    
1.2627       3.7368      0.023071    
1.2711       3.7529      0.025797    
1.2784       3.767       0.026499    
1.287        3.704       0.022474    
1.2957       3.7136      0.026709    
1.3032       3.7122      0.026616    
1.3121       3.7338      0.023202    
1.321        3.6723      0.027077    
1.33         3.698       0.022615    
1.3391       3.6523      0.026196    
1.347        3.5856      0.026703    
1.3563       3.6139      0.022453    
1.3657       3.57        0.023955    
1.3752       3.579       0.021424    
1.3848       3.5767      0.025615    
1.3931       3.5904      0.025836    
1.4029       3.4932      0.021996    
1.4127       3.5375      0.024486    
1.4213       3.4948      0.024169    
1.4314       3.504       0.021464    
1.4415       3.4716      0.025074    
1.4518       3.4899      0.021057    
1.4622       3.5204      0.02372     
1.4712       3.4824      0.023811    
1.4819       3.4183      0.019948    
1.4926       3.3927      0.022579    
1.5019       3.3936      0.022439    
1.5129       3.4284      0.019702    
1.524        3.3696      0.023161    
1.5352       3.3845      0.020686    
1.5466       3.351       0.02348     
1.5564       3.3555      0.022734    
1.568        3.3356      0.019509    
1.5797       3.3688      0.022384    
1.5898       3.3288      0.023159    
1.6018       3.36        0.0208      
1.6139       3.2603      0.023153    
1.6261       3.298       0.01932     
1.6385       3.2674      0.021788    
1.6492       3.3365      0.023062    
1.6618       3.2254      0.019982    
1.6746       3.2102      0.022679    
1.6857       3.2127      0.022681    
1.6988       3.177       0.020071    
1.712        3.2168      0.023213    
1.7254       3.1644      0.019896    
1.739        3.1593      0.023956    
1.7508       3.0668      0.024418    
1.7647       3.116       0.019978    
1.7788       3.1452      0.022969    
1.791        3.0951      0.022751    
1.8054       3.0607      0.019209    
1.82         3.073       0.021516    
1.8326       3.0591      0.022086    
1.8475       3.0179      0.018662    
1.8626       3.0229      0.021877    
1.8757       3.0164      0.021541    
1.8911       3.0357      0.019159    
1.9068       2.9739      0.02299     
1.9203       2.9151      0.022889    
1.9363       2.9393      0.019844    
1.9525       2.9219      0.022658    
1.9665       2.9228      0.021613    
1.9831       2.9473      0.018536    
2.           2.857       0.014075    
2.0163       2.8974      0.013376    
2.0326       2.8778      0.014058    
2.0482       2.8768      0.014059    
2.066        2.8794      0.012796    
2.084        2.8174      0.014878    
2.1002       2.8308      0.013931    
2.1176       2.8002      0.012935    
2.1353       2.8265      0.013662    
2.1532       2.7732      0.013088    
2.1722       2.7632      0.013131    
2.1907       2.7751      0.013822    
2.2093       2.7398      0.013148    
2.228        2.7438      0.013857    
2.246        2.715       0.013764    
2.2664       2.6971      0.01237     
2.2871       2.7061      0.013751    
2.3058       2.6552      0.013826    
2.3258       2.6674      0.012752    
2.3461       2.6608      0.013614    
2.3655       2.6437      0.013186    
2.3876       2.6245      0.011981    
2.4101       2.6206      0.013866    
2.4303       2.5806      0.013766    
2.452        2.5683      0.012813    
2.4741       2.5688      0.014121    
2.4951       2.5639      0.014824    
2.5191       2.5492      0.013377    
2.5435       2.5364      0.014695    
2.5654       2.5105      0.015125    
2.5889       2.4622      0.013959    
2.6129       2.508       0.014394    
2.6373       2.4864      0.013671    
2.663        2.4676      0.013778    
2.6882       2.454       0.014345    
2.7135       2.4432      0.013733    
2.7391       2.4095      0.014384    
2.7638       2.4248      0.014675    
2.7902       2.4029      0.014194    
2.8184       2.373       0.013691    
2.8457       2.364       0.014517    
2.873        2.3449      0.014027    
2.9009       2.3642      0.015182    
2.9293       2.3034      0.014565    
2.9577       2.305       0.01546     
2.9872       2.2869      0.013902    
3.0184       2.2556      0.013796    
3.0485       2.264       0.014318    
3.0772       2.2803      0.014663    
3.108        2.2293      0.013939    
3.1394       2.2451      0.014989    
3.1714       2.1988      0.014068    
3.2055       2.1975      0.014643    
3.2387       2.1641      0.015545    
3.2718       2.177       0.014874    
3.3058       2.1448      0.015595    
3.3403       2.1378      0.014804    
3.375        2.1408      0.015868    
3.4109       2.1072      0.014655    
3.4491       2.0782      0.014748    
3.486        2.0789      0.015964    
3.5213       2.0537      0.015871    
3.5592       2.044       0.015216    
3.5977       2.0505      0.016142    
3.6373       2.0108      0.014805    
3.6792       2.0345      0.014667    
3.72         1.9768      0.015662    
3.7589       1.9677      0.016003    
3.8007       1.9538      0.014731    
3.8433       1.9543      0.015125    
3.8893       1.899       0.013522    
3.936        1.8954      0.015111    
3.9784       1.899       0.015026    
4.024        1.8657      0.014127    
4.0703       1.8859      0.014663    
4.1149       1.878       0.014588    
4.1631       1.8568      0.014131    
4.2144       1.8061      0.013764    
4.2648       1.8048      0.014301    
4.3153       1.7937      0.013814    
4.3668       1.7896      0.014377    
4.4164       1.7493      0.013861    
4.47         1.7685      0.012984    
4.5273       1.7514      0.012881    
4.5833       1.7062      0.013608    
4.6396       1.7221      0.012758    
4.6971       1.681       0.013105    
4.7525       1.6706      0.012942    
4.8123       1.6687      0.012255    
4.8764       1.6456      0.012007    
4.939        1.6261      0.012635    
5.0019       1.6304      0.012038    
5.0665       1.6471      0.012993    
5.1285       1.6056      0.013177    
5.1956       1.57        0.012156    
5.268        1.5777      0.011929    
5.3382       1.5525      0.01268     
5.4088       1.5218      0.011799    
5.4816       1.5129      0.012236    
5.5556       1.5276      0.011632    
5.6307       1.4748      0.012438    
5.7034       1.4623      0.012178    
5.7867       1.462       0.010766    
5.8718       1.4641      0.01203     
5.9493       1.4248      0.011947    
6.0326       1.4174      0.011162    
6.1181       1.4052      0.011769    
6.2004       1.3854      0.011754    
6.2895       1.3731      0.011131    
6.386        1.3546      0.011001    
6.4846       1.315       0.010931    
6.5799       1.3252      0.011498    
6.6719       1.3014      0.011437    
6.7714       1.2917      0.010827    
6.8729       1.273       0.011398    
6.9712       1.2528      0.01142     
7.0841       1.2715      0.010308    
7.1998       1.2493      0.011789    
7.3053       1.2349      0.01189     
7.4189       1.2072      0.01145     
7.5362       1.1778      0.012158    
7.6564       1.1766      0.011614    
7.7783       1.1672      0.012522    
7.8967       1.1424      0.012557    
8.0332       1.1159      0.011059    
8.173        1.1097      0.012464    
8.3008       1.0996      0.012625    
8.4391       1.1043      0.012046    
8.5811       1.0709      0.01307     
8.7186       1.053       0.013357    
8.8682       1.0298      0.01272     
9.0207       1.0287      0.013732    
9.16         1.013       0.00312     
9.53         0.973       0.00301     
9.92         0.943       0.00287     
10.33        0.9125      0.00276     
10.75        0.8765      0.00319     
11.19        0.8482      0.00338     
11.64        0.8168      0.00321     
12.12        0.7822      0.00346     
12.61        0.7572      0.00323     
13.13        0.7284      0.00334     
13.66        0.7019      0.00324     
14.22        0.6783      0.0031      
14.8         0.653       0.00332     
15.41        0.6285      0.00346     
16.04        0.6025      0.00356     
16.69        0.5783      0.0033      
17.37        0.5547      0.00318     
18.08        0.5339      0.00318     
18.82        0.5143      0.00319     
19.59        0.4915      0.00321     
20.39        0.471       0.00297     
21.22        0.4513      0.0028      
22.08        0.4309      0.0027      
22.99        0.4155      0.00267     
23.92        0.3967      0.00263     
24.9         0.3816      0.00259     
25.92        0.3636      0.0025      
26.97        0.3483      0.00245     
28.07        0.3325      0.00239     
29.22        0.32        0.00233     
30.41        0.3025      0.000707    
31.65        0.2889      0.000682    
32.95        0.2764      0.00066     
34.29        0.2639      0.000639    
35.69        0.2511      0.000619    
37.15        0.2393      0.000599    
38.66        0.2283      0.000581    
40.24        0.2182      0.000563    
41.88        0.2075      0.000546    
43.59        0.1973      0.000529    
45.37        0.1888      0.000514    
47.23        0.1798      0.000499    
49.15        0.171       0.000486    
51.16        0.1629      0.000473    
53.25        0.1549      0.000462    
55.42        0.1478      0.000451    
57.68        0.1412      0.000441    
60.04        0.1343      0.000432    
62.49        0.128       0.000423    
65.04        0.1222      0.000415    
67.69        0.1165      0.000408    
70.46        0.111       0.0004      
73.33        0.106       0.000393    
76.33        0.101       0.000387    
79.44        0.09655     0.000381    
82.68        0.09255     0.000376    
86.06        0.0883      0.000371    
89.57        0.08398     0.000366    
93.23        0.08093     0.000361    
97.03        0.0775      0.000357    
101.         0.07443     0.000354    
105.1        0.07139     0.00035     
109.4        0.06854     0.000347    
113.9        0.06624     0.000345    
118.5        0.06354     0.000342    
123.4        0.0612      0.000339    
128.4        0.05922     0.000337    
133.6        0.05731     0.000335    
139.1        0.05521     0.000334    
144.8        0.05365     0.000333    
150.7        0.0516      0.000332    
156.8        0.05026     0.000332    
163.2        0.04888     0.000331    
169.9        0.04756     0.000331    
176.8        0.04623     0.000332    
184.         0.04504     0.000332    
191.5        0.0438      0.000333    
199.4        0.04258     0.000334    
207.5        0.04188     0.000336    
216.         0.04112     0.000337    
224.8        0.04016     0.000339    
234.         0.03932     0.000341    
243.5        0.03861     0.000344    
253.5        0.03798     0.000347    
263.8        0.03736     0.00035     
274.6        0.0366      0.000352    
285.8        0.03616     0.000355    
297.4        0.03567     0.000358    
309.6        0.03517     0.000361    
322.2        0.03496     0.000364    
335.4        0.03448     0.000366    
349.         0.03408     0.000368    
363.3        0.03398     0.000369    
378.1        0.03368     0.00037     
393.6        0.03359     0.00037     
409.6        0.0337      0.00037     
426.3        0.03349     0.00037     
443.7        0.03339     0.000373    
461.9        0.03377     0.000378    
480.7        0.03401     0.000389    
500.3        0.03443     0.000409    
