T.W.Phillips et al, Physical Review, Part C, Nuclear Physics, Vol.22, p.384 (1980)
H-1 n,tot (T.W. Phillips et al (1980))
MeV     Barns   Error (Barns)
1.053   4.274   0.001
1.13    4.048   0.002
1.181   3.925   0.003
1.228   3.84    0.003
1.277   3.773   0.003
1.329   3.685   0.003
1.383   3.603   0.003
1.442   3.51    0.003
1.504   3.434   0.003
1.571   3.344   0.003
1.642   3.264   0.003
1.717   3.179   0.003
1.8     3.097   0.003
1.887   3.016   0.003
1.981   2.92    0.003
2.082   2.819   0.004
2.191   2.739   0.003
2.308   2.657   0.003
2.436   2.58    0.003
2.575   2.494   0.003
2.725   2.414   0.004
2.889   2.321   0.004
3.069   2.246   0.004
3.266   2.155   0.004
3.482   2.07    0.005
3.721   1.977   0.005
3.986   1.889   0.004
4.232   1.83    0.005
4.392   1.771   0.005
4.558   1.739   0.005
4.733   1.685   0.005
4.919   1.647   0.005
5.115   1.608   0.005
5.324   1.555   0.004
5.546   1.513   0.004
5.781   1.457   0.004
6.032   1.411   0.004
6.301   1.375   0.004
6.587   1.325   0.004
6.894   1.281   0.004
7.222   1.219   0.004
7.575   1.178   0.005
7.954   1.125   0.005
8.363   1.092   0.005
8.804   1.04    0.006
9.281   1.      0.007
9.798   0.957   0.007
10.36   0.903   0.008
10.972  0.861   0.009
11.641  0.81    0.01 
12.372  0.737   0.012
13.176  0.706   0.013
14.054  0.661   0.016
14.949  0.608   0.016
16.024  0.566   0.02 
17.219  0.55    0.022
18.556  0.51    0.026
