Literature data from W.P.Abfalterer (2001)
Natural Pb (n,tot)
MeV         cs(barns)   cs_error(barns)
5.293       7.263       0.03666     
5.346       7.223       0.03784     
5.399       7.215       0.03937     
5.454       7.156       0.0362      
5.509       7.096       0.03536     
5.564       7.036       0.03495     
5.62        6.915       0.03446     
5.676       6.858       0.03374     
5.733       6.845       0.03325     
5.791       6.822       0.03287     
5.849       6.777       0.03252     
5.908       6.686       0.03228     
5.967       6.661       0.03209     
6.027       6.536       0.03152     
6.088       6.47        0.03124     
6.149       6.411       0.03137     
6.211       6.41        0.03271     
6.273       6.404       0.03594     
6.336       6.357       0.03584     
6.4         6.233       0.03077     
6.464       6.221       0.0292      
6.529       6.197       0.02839     
6.595       6.134       0.0272      
6.661       6.075       0.02688     
6.728       6.032       0.02675     
6.796       5.972       0.02654     
6.864       5.918       0.02608     
6.933       5.9         0.02576     
7.003       5.854       0.02554     
7.073       5.817       0.02559     
7.144       5.789       0.02582     
7.216       5.772       0.02686     
7.289       5.761       0.02911     
7.362       5.736       0.03215     
7.436       5.697       0.03281     
7.51        5.634       0.03228     
7.586       5.623       0.03182     
7.662       5.59        0.03254     
7.739       5.585       0.035       
7.817       5.52        0.03506     
7.896       5.481       0.03369     
7.975       5.458       0.03262     
8.055       5.477       0.03231     
8.136       5.465       0.03152     
8.218       5.38        0.0293      
8.3         5.334       0.02769     
8.384       5.334       0.02698     
8.468       5.352       0.02673     
8.553       5.331       0.02655     
8.639       5.316       0.02645     
8.726       5.301       0.0265      
8.814       5.301       0.0266      
8.902       5.261       0.02663     
8.992       5.244       0.02691     
9.082       5.222       0.02749     
9.173       5.263       0.02821     
9.266       5.246       0.02834     
9.359       5.228       0.02829     
9.453       5.195       0.02805     
9.548       5.183       0.02786     
9.644       5.181       0.0279      
9.741       5.173       0.02806     
9.838       5.133       0.02795     
9.937       5.116       0.02776     
10.04       5.122       0.02777     
10.14       5.154       0.02791     
10.24       5.145       0.02792     
10.34       5.147       0.02804     
10.45       5.156       0.02829     
10.55       5.133       0.02863     
10.66       5.137       0.02922     
10.77       5.148       0.02984     
10.87       5.113       0.03019     
10.98       5.107       0.03044     
11.09       5.123       0.03078     
11.2        5.131       0.03094     
11.32       5.125       0.03089     
11.43       5.112       0.03079     
11.55       5.144       0.03082     
11.66       5.175       0.03096     
11.78       5.166       0.0311      
11.9        5.138       0.03154     
12.02       5.139       0.0322      
12.14       5.14        0.03253     
12.26       5.122       0.03215     
12.38       5.152       0.03189     
12.51       5.181       0.03194     
12.63       5.237       0.03234     
12.76       5.239       0.03282     
12.89       5.239       0.03323     
13.02       5.229       0.03333     
13.15       5.237       0.0334      
13.28       5.257       0.03356     
13.41       5.28        0.03378     
13.55       5.26        0.03389     
13.69       5.321       0.03391     
13.82       5.37        0.03393     
13.96       5.39        0.03381     
14.1        5.404       0.03413     
14.24       5.404       0.03426     
14.39       5.449       0.03447     
14.53       5.483       0.03494     
14.68       5.458       0.03544     
14.82       5.465       0.03566     
14.97       5.505       0.03608     
15.12       5.55        0.03642     
15.28       5.578       0.03658     
15.43       5.6         0.03708     
15.58       5.577       0.03734     
15.74       5.582       0.03772     
15.9        5.593       0.03794     
16.06       5.653       0.03801     
16.22       5.65        0.03777     
16.38       5.725       0.03787     
16.55       5.77        0.03779     
16.72       5.754       0.03755     
16.88       5.775       0.03757     
17.05       5.757       0.03753     
17.22       5.759       0.03741     
17.4        5.828       0.0377      
17.57       5.789       0.03754     
17.75       5.801       0.03747     
17.93       5.908       0.03772     
18.11       5.843       0.03759     
18.29       5.854       0.03766     
18.47       5.848       0.03742     
18.66       5.879       0.03743     
18.85       5.853       0.03743     
19.04       5.89        0.03766     
19.23       5.862       0.03746     
19.42       5.859       0.03731     
19.62       5.87        0.03703     
19.81       5.91        0.03683     
20.01       5.903       0.03648     
20.21       5.886       0.03612     
20.42       5.828       0.03561     
20.62       5.856       0.03527     
20.83       5.871       0.03503     
