Literature data from W.P.Poenitz (1983) & Finlay et. al (1993)
Natural Sn (n,tot)
MeV         cs(barns)   cs_error(barns) 
1.817       5.672       .0643
1.856       5.625       .05908      
1.896       5.607       .0589       
1.938       5.548       .05827      
1.981       5.457       .05732      
2.025       5.426       .05445      
2.071       5.464       .05298      
2.118       5.331       .0535       
2.167       5.342       .05361      
2.218       5.282       .05301      
2.271       5.197       .04829      
2.325       5.127       .04764      
2.382       5.092       .04731      
2.441       4.985       .04631      
2.502       4.999       .04645      
2.565       4.969       .04617      
2.631       4.899       .04552      
2.699       4.788       .04449      
2.77        4.743       .04407      
2.844       4.726       .04391      
2.921       4.678       .04347      
3.001       4.572       .04248      
3.084       4.521       .04201      
3.171       4.505       .04186      
3.262       4.459       .04143      
3.357       4.419       .04106      
3.456       4.316       .0401       
3.559       4.293       .03989      
3.667       4.305       .04         
3.78        4.316       .0401       
3.899       4.269       .03966      
4.023       4.302       .04318      
4.154       4.317       .0467       
4.29        4.287       .05361      
4.434       4.279       .06088      
4.585       4.19        .06087      
4.744       4.224       .06502      
4.911       4.278       .06464      
5.087       4.324       .06533      
5.273       4.164       .06409      
5.2925       4.1968       0.0141
5.3457       4.1846      0.01397
5.3994       4.1872      0.01384
5.4537       4.1803       0.0136
5.5085       4.1742      0.01345
5.5639       4.1985       0.0135
5.6198       4.1842      0.01349
5.6763       4.1793      0.01331
5.7333       4.1901      0.01308
 5.791       4.1519      0.01288
5.8492       4.1504      0.01275
5.9079       4.1785      0.01292
5.9673       4.1716       0.0127
6.0273       4.1983      0.01269
6.0879       4.1917      0.01266
 6.149       4.1625      0.01254
6.2108       4.1658      0.01251
6.2733       4.1663      0.01258
6.3363       4.1894      0.01248
   6.4       4.1906      0.01245
6.4643       4.1797       0.0122
6.5293       4.1753      0.01224
6.5949       4.1876      0.01218
6.6612       4.2066      0.01219
6.7281       4.1986      0.01212
6.7958       4.2119       0.0122
6.8641       4.2038       0.0121
 6.933       4.2025      0.01205
7.0027       4.2519      0.01215
7.0731        4.241      0.01221
7.1442       4.2605      0.01233
 7.216       4.2349      0.01255
7.2885       4.2671      0.01269
7.3618       4.2532      0.01286
7.4358       4.2913      0.01303
7.5105        4.269      0.01286
 7.586       4.3128      0.01283
7.6622       4.3159      0.01288
7.7392       4.3148      0.01311
 7.817        4.328       0.0133
7.8956       4.3459      0.01338
7.9749       4.3337      0.01314
 8.055       4.3533      0.01307
 8.136       4.3702      0.01318
8.2178       4.3916      0.01319
8.3004       4.4028      0.01316
8.3838       4.4115      0.01317
 8.468       4.4285      0.01321
8.5532       4.4391      0.01326
8.6391       4.4222      0.01334
8.7259       4.4697      0.01354
8.8136       4.4574      0.01355
8.9022       4.4779      0.01359
8.9917       4.5221      0.01376
9.0821       4.4906      0.01385
9.1733       4.5243      0.01397
9.2655       4.5316      0.01405
9.3586       4.5604      0.01417
9.4527       4.5315      0.01419
9.5477        4.553      0.01427
9.6437         4.57       0.0144
9.7406       4.5563      0.01448
9.8385        4.586      0.01462
9.9374       4.5856      0.01467
10.037       4.5941      0.01483
10.138       4.6309      0.01502
 10.24       4.6513      0.01512
10.343       4.6272      0.01518
10.447       4.6569      0.01524
10.552       4.6312       0.0153
10.658       4.6254      0.01539
10.765       4.6313      0.01555
10.873       4.6629      0.01572
10.982       4.6766      0.01586
11.093        4.701      0.01602
11.204       4.6928      0.01614
11.317       4.6667      0.01615
11.431       4.6639      0.01623
11.546       4.7094      0.01649
11.662       4.6624      0.01651
11.779       4.6673      0.01661
11.897       4.6846      0.01676
12.017       4.7095      0.01698
12.138       4.6909      0.01703
 12.26       4.7113      0.01712
12.383       4.6719       0.0171
12.507       4.7232      0.01736
12.633       4.6767      0.01732
 12.76       4.6579      0.01743
12.888       4.6497      0.01761
13.018       4.7035      0.01776
13.148       4.6671      0.01777
13.281       4.6446      0.01787
13.414       4.6757      0.01803
13.549       4.6767      0.01815
13.685       4.6456      0.01817
13.823       4.6277      0.01822
13.962       4.6289      0.01831
14.102       4.6644      0.01851
14.244       4.6215      0.01856
14.387       4.6024      0.01862
14.531       4.6095      0.01883
14.677       4.6136      0.01891
14.825       4.6032        0.019
14.974       4.5704      0.01906
15.124       4.5282      0.01905
15.276       4.5013      0.01904
 15.43       4.5367      0.01923
15.585       4.5205      0.01931
15.742       4.5155       0.0194
  15.9       4.4708      0.01947
 16.06       4.4849      0.01955
16.221       4.4657      0.01958
16.384       4.4389      0.01961
16.549       4.4479      0.01967
16.715       4.3933      0.01962
16.883       4.3672      0.01963
17.053       4.3929       0.0198
17.224       4.3516      0.01974
17.397       4.3281      0.01976
17.572       4.2967      0.01971
17.749       4.2818      0.01961
17.927       4.2156      0.01958
18.107       4.2743      0.01973
18.289       4.2282      0.01965
18.473       4.2037      0.01962
18.659       4.1537      0.01946
18.846       4.1831      0.01957
19.036       4.1466      0.01947
19.227       4.1112       0.0193
 19.42       4.0862      0.01923
19.615       4.0849      0.01912
19.812       4.0847      0.01897
20.012       4.0203      0.01883
20.213       3.9981      0.01882
20.416       3.9788      0.01881
20.621       3.9532      0.01877
20.828       3.9434      0.01873
21.038       3.9256      0.01867
21.249       3.8744      0.01849
21.462        3.889      0.01847
21.678       3.8602      0.01835
21.896       3.8245       0.0182
22.116       3.7732      0.01806
22.338        3.789      0.01793
22.563       3.7724      0.01777
 22.79       3.7469      0.01762
23.019       3.7178      0.01748
 23.25       3.7044      0.01744
23.484       3.6466      0.01722
 23.72       3.6627      0.01714
23.958       3.6326        0.017
24.199       3.6474      0.01697
24.442       3.5867      0.01677
24.688       3.5918      0.01675
24.936       3.5624      0.01664
25.186       3.5236      0.01654
 25.44       3.5404      0.01648
25.695       3.5252      0.01641
25.954       3.4978      0.01628
26.214       3.4546      0.01618
26.478       3.4481       0.0161
