Literature data from R. W. Harper(1982) [to 5 MeV] and J. Rapaport(1980) [above 5 MeV]
Sn124 (n,tot)
MeV         cs(barns)   cs_error(barns) 
0.2923      6.49        0 
0.3549      6.45        0
0.4384      6.38        0
0.5010      6.43        0
0.5741      6.47        0
0.6472      6.66        0
0.7307      6.62        0
0.7724      6.70        0
0.8455      6.74        0
0.8873      6.68        0
0.9603      6.64        0
1.013       6.55        0
1.033       6.41        0
1.096       6.32        0
1.190       6.38        0
1.284       6.15        0
1.367       6.28        0
1.420       6.22        0
1.482       6.11        0
1.587       5.96        0
1.628       5.77        0
1.701       5.69        0
1.785       5.73        0
1.837       5.69        0
1.889       5.61        0
1.983       5.52        0
2.098       5.54        0
2.192       5.35        0
2.307       5.25        0
2.589       5.00        0
2.933       4.70        0
3.278       4.36        0
3.591       4.20        0
3.883       4.15        0
4.186       4.36        0
4.478       4.34        0
4.770       4.26        0
4.979       4.20        0

5.049       4.29        0.04
5.252       4.06        0.04
5.457       3.97        0.04
5.864       4.29        0.04
6.068       4.18        0.04
6.170       4.21        0.04
6.474       4.21        0.04
6.775       4.06        0.04
6.878       4.19        0.04
7.080       4.14        0.04
7.285       4.31        0.04
7.488       4.10        0.04
7.680       4.51        0.04
7.917       4.60        0.04
8.130       4.36        0.04
9.490       4.59        0.04
9.590       4.51        0.04
9.690       4.51        0.04
9.740       4.44        0.04
9.760       4.59        0.04
9.780       4.41        0.04
9.800       4.76        0.04
9.820       4.57        0.04
9.840       4.56        0.04
9.860       4.53        0.04
9.880       4.72        0.04
9.900       4.53        0.04
9.920       4.56        0.04
9.940       4.65        0.04
9.990       4.57        0.04
10.04       4.51        0.04
10.09       4.46        0.04
10.11       4.64        0.04
10.13       4.49        0.04
10.15       4.54        0.04
10.17       4.66        0.04
10.19       4.63        0.04
10.21       4.53        0.04
10.23       4.52        0.04
10.25       4.59        0.04
10.29       4.43        0.04
10.34       4.53        0.04
10.36       4.62        0.04
10.38       4.51        0.04
10.41       4.62        0.04
10.42       4.78        0.04
10.44       4.57        0.04
10.46       4.60        0.04
10.48       4.48        0.04
10.50       4.41        0.04
10.52       4.48        0.04
10.54       4.46        0.04
10.59       4.61        0.04

14.2        4.71        0.06

20.00       4.13        0.08
21.00       4.18        0.08
22.00       3.95        0.08
23.00       3.86        0.08
24.00       3.48        0.07
26.00       3.66        0.07
